INDEX HOPPING_ID_2 HOPPING_ID_1 R_2 R_1 MEAN_R MEAN_I STD
109 1 1 6 12 0.14024800 -0.00000000 0.13943163
110 1 1 6 13 0.37311528 0.00000000 0.37457990
111 1 1 6 14 -0.03417456 0.00000000 0.06540279
112 1 1 6 15 0.05645867 0.00000000 0.03742981
113 1 1 7 0 -0.01650053 0.00000000 0.02338826
114 1 1 7 1 -0.05521011 -0.00000000 0.05127454
115 1 1 7 2 0.01159533 -0.00000000 0.00546275
116 1 1 7 3 -0.01320716 0.00000000 0.02203046
117 1 1 7 4 0.03523335 0.00000000 0.03673037
118 1 1 7 5 -0.01173228 -0.00000000 0.02846208
119 1 1 7 6 0.00539254 0.00000000 0.03880329
120 1 1 7 7 1.87694302 -0.00000000 0.20472779
121 1 1 7 8 0.04517081 0.00000000 0.00750420
122 1 1 7 9 -0.09680022 -0.00000000 0.15167026
123 1 1 7 10 0.14654457 -0.00000000 0.10848577
124 1 1 7 11 0.08320652 0.00000000 0.04662778
125 1 1 7 12 0.07091724 -0.00000000 0.04737194
126 1 1 7 13 0.20649936 0.00000000 0.20851127
127 1 1 7 14 0.07534097 -0.00000000 0.01768004
128 1 1 7 15 0.11773560 0.00000000 0.04726014
129 1 1 8 0 -0.06191996 -0.00000000 0.05125175
130 1 1 8 1 0.06331005 0.00000000 0.06679483
131 1 1 8 2 -0.06108882 -0.00000000 0.06661112
132 1 1 8 3 0.06138094 -0.00000000 0.06456797
133 1 1 8 4 0.57249191 0.00000000 0.51400077
134 1 1 8 5 -0.10071464 -0.00000000 0.11381991
135 1 1 8 6 0.42126088 -0.00000000 0.40012876
136 1 1 8 7 0.04517081 0.00000000 0.00750420
137 1 1 8 8 4.17214787 -0.00000000 2.38358089
138 1 1 8 9 1.01156796 0.00000000 1.04096210
139 1 1 8 10 -0.79345507 0.00000000 0.81717019
140 1 1 8 11 0.69452066 -0.00000000 0.70978728
141 1 1 8 12 -0.39886889 -0.00000000 0.41648761
142 1 1 8 13 0.85742237 0.00000000 0.85992277
143 1 1 8 14 -0.07258016 0.00000000 0.12036985
144 1 1 8 15 -0.01441258 0.00000000 0.11771774
145 1 1 9 0 -0.07837387 -0.00000000 0.06960658
146 1 1 9 1 0.59160278 0.00000000 0.59572591
147 1 1 9 2 0.04137376 0.00000000 0.03693350
148 1 1 9 3 0.03557934 0.00000000 0.04415461
149 1 1 9 4 0.11160209 0.00000000 0.04011954
150 1 1 9 5 0.26212629 0.00000000 0.24600154
151 1 1 9 6 -0.03673898 -0.00000000 0.06193234
152 1 1 9 7 -0.09680022 -0.00000000 0.15167026
153 1 1 9 8 1.02543545 0.00000000 1.03229017
154 1 1 9 9 5.98958227 -0.00000000 3.68786144
155 1 1 9 10 0.13906070 -0.00000000 0.15975676
156 1 1 9 11 -0.65224645 0.00000000 0.69415275
157 1 1 9 12 -0.48264312 0.00000000 0.51613089
158 1 1 9 13 -1.17339144 0.00000000 1.16999224
159 1 1 9 14 0.25918296 0.00000000 0.19687704
160 1 1 9 15 0.13607069 -0.00000000 0.05746546
161 1 1 10 0 -0.14020183 0.00000000 0.18493188
162 1 1 10 1 0.03013180 -0.00000000 0.02963931
163 1 1 10 2 -0.07472610 0.00000000 0.08104995
164 1 1 10 3 -0.18303530 0.00000000 0.19086090
165 1 1 10 4 0.20562442 0.00000000 0.15460928
166 1 1 10 5 -0.20000845 -0.00000000 0.21126144
167 1 1 10 6 -0.27643030 0.00000000 0.30300209
168 1 1 10 7 0.14654457 -0.00000000 0.10848577
169 1 1 10 8 -0.79345507 0.00000000 0.81717019
170 1 1 10 9 0.19179266 -0.00000000 0.21746474
171 1 1 10 10 3.39412028 -0.00000000 1.37101699
172 1 1 10 11 -0.23339197 0.00000000 0.20653981
173 1 1 10 12 -0.13471340 -0.00000000 0.17276816
174 1 1 10 13 0.46497301 0.00000000 0.46739419
175 1 1 10 14 0.06746118 -0.00000000 0.01717145
176 1 1 10 15 0.16392420 -0.00000000 0.10252450
177 1 1 11 0 -0.02772353 -0.00000000 0.01973013
178 1 1 11 1 -0.32001547 0.00000000 0.31665141
179 1 1 11 2 -0.07636913 -0.00000000 0.08210326
180 1 1 11 3 0.07105991 -0.00000000 0.05917903
181 1 1 11 4 0.24555264 0.00000000 0.19984124
182 1 1 11 5 -0.11200230 -0.00000000 0.12861549
183 1 1 11 6 0.41611074 -0.00000000 0.39513086
184 1 1 11 7 0.08320652 0.00000000 0.04662778
185 1 1 11 8 0.74578656 -0.00000000 0.75893122
186 1 1 11 9 -0.65224645 0.00000000 0.69415275
187 1 1 11 10 -0.22029342 0.00000000 0.21250432
188 1 1 11 11 2.77956757 -0.00000000 0.94173543
189 1 1 11 12 0.17778823 -0.00000000 0.16978861
190 1 1 11 13 0.53337867 0.00000000 0.53744434
191 1 1 11 14 -0.00785585 0.00000000 0.04702686
192 1 1 11 15 0.06462147 0.00000000 0.11487983
193 1 1 12 0 -0.02622626 -0.00000000 0.02121626
194 1 1 12 1 -0.15678256 -0.00000000 0.15358005
195 1 1 12 2 0.05893894 0.00000000 0.05085286
196 1 1 12 3 0.04502530 -0.00000000 0.03810692
197 1 1 12 4 -0.08015142 -0.00000000 0.11908859
198 1 1 12 5 0.08325253 0.00000000 0.07776859
199 1 1 12 6 0.14024800 -0.00000000 0.13943163
200 1 1 12 7 0.07091724 -0.00000000 0.04737194
201 1 1 12 8 -0.39886889 -0.00000000 0.41648761
202 1 1 12 9 -0.48264312 0.00000000 0.51613089
203 1 1 12 10 -0.13471340 -0.00000000 0.17276816
204 1 1 12 11 0.17778823 -0.00000000 0.16978861
205 1 1 12 12 1.46288149 -0.00000000 0.53069667
206 1 1 12 13 0.08203123 -0.00000000 0.11464768
207 1 1 12 14 -0.04594348 -0.00000000 0.08384425
208 1 1 12 15 0.05119243 0.00000000 0.02642727
209 1 1 13 0 -0.12346349 -0.00000000 0.13274540
210 1 1 13 1 -0.42585014 -0.00000000 0.42998949
211 1 1 13 2 -0.06622440 -0.00000000 0.06776768
212 1 1 13 3 -0.02090641 -0.00000000 0.02072060
213 1 1 13 4 0.47396173 0.00000000 0.47614533
214 1 1 13 5 -0.61833888 -0.00000000 0.61707677
215 1 1 13 6 0.37311528 0.00000000 0.37457990
216 1 1 13 7 0.20649936 0.00000000 0.20851127
217 1 1 13 8 0.85742237 0.00000000 0.85992277
218 1 1 13 9 -1.17339144 0.00000000 1.16999224
219 1 1 13 10 0.46497301 0.00000000 0.46739419
220 1 1 13 11 0.53337867 0.00000000 0.53744434
221 1 1 13 12 0.10663763 -0.00000000 0.11370488
222 1 1 13 13 3.16873754 0.00000000 3.11826899
223 1 1 13 14 -0.11807098 -0.00000000 0.09228492
224 1 1 13 15 0.08591667 0.00000000 0.13018232
225 1 1 14 0 -0.02677481 -0.00000000 0.02120512
226 1 1 14 1 -0.02618004 -0.00000000 0.02324961
227 1 1 14 2 0.06457518 0.00000000 0.06087575
228 1 1 14 3 0.00485251 0.00000000 0.01241208
229 1 1 14 4 0.05299320 0.00000000 0.02555116
230 1 1 14 5 -0.02658184 0.00000000 0.03804415
231 1 1 14 6 -0.03417456 0.00000000 0.06540279
232 1 1 14 7 0.07534097 -0.00000000 0.01768004
233 1 1 14 8 -0.07258016 0.00000000 0.12036985
234 1 1 14 9 0.25918296 0.00000000 0.19687704
235 1 1 14 10 0.06746118 -0.00000000 0.01717145
236 1 1 14 11 -0.00785585 0.00000000 0.04702686
237 1 1 14 12 -0.04594348 -0.00000000 0.08384425
238 1 1 14 13 -0.06094425 0.00000000 0.06427978
239 1 1 14 14 2.04371678 0.00000000 0.21773057
240 1 1 14 15 0.05854756 0.00000000 0.06225571
241 1 1 15 0 -0.14341271 -0.00000000 0.14613229
242 1 1 15 1 -0.07539866 -0.00000000 0.06097439
243 1 1 15 2 -0.01195229 -0.00000000 0.02553512
244 1 1 15 3 0.09002192 0.00000000 0.05767230
245 1 1 15 4 0.10631976 -0.00000000 0.04149925
246 1 1 15 5 0.03043775 -0.00000000 0.05036065
247 1 1 15 6 0.05645867 0.00000000 0.03742981
248 1 1 15 7 0.11773560 0.00000000 0.04726014
249 1 1 15 8 -0.01441258 0.00000000 0.11771774
250 1 1 15 9 0.13607069 -0.00000000 0.05746546
251 1 1 15 10 0.16392420 -0.00000000 0.10252450
252 1 1 15 11 0.06462147 0.00000000 0.11487983
253 1 1 15 12 -0.08177592 -0.00000000 0.05977677
254 1 1 15 13 0.08591667 0.00000000 0.13018232
255 1 1 15 14 0.02907367 -0.00000000 0.04826933
256 1 1 15 15 4.22896803 0.00000000 2.62241390
257 2 2 0 0 1.28611111 -0.00000000 0.23478704
258 2 2 0 1 0.05218642 0.00000000 0.01572682
259 2 2 0 2 0.00778262 -0.00000000 0.00930442
260 2 2 0 3 -0.02256524 0.00000000 0.03491745
261 2 2 0 4 -0.10614260 -0.00000000 0.03891128
262 2 2 0 5 0.00978200 -0.00000000 0.03360344
263 2 2 0 6 0.02056315 -0.00000000 0.02230971
264 2 2 0 7 0.05367389 -0.00000000 0.04547180
265 2 2 0 8 0.02763013 -0.00000000 0.07488727
266 2 2 0 9 -0.02456660 0.00000000 0.01900329
267 2 2 0 10 0.02198643 -0.00000000 0.01858759
268 2 2 0 11 0.02422316 -0.00000000 0.03158479
269 2 2 0 12 -0.04481107 -0.00000000 0.03718126
270 2 2 0 13 -0.01748401 -0.00000000 0.01631640
271 2 2 0 14 0.10830337 -0.00000000 0.10783091
272 2 2 0 15 -0.01397331 0.00000000 0.01590771
273 2 2 1 0 0.05218642 0.00000000 0.01572682
274 2 2 1 1 2.69397851 0.00000000 0.43019596
275 2 2 1 2 0.27039390 0.00000000 0.12939843
276 2 2 1 3 0.13093130 0.00000000 0.09282035
277 2 2 1 4 -0.01089374 -0.00000000 0.01955185
278 2 2 1 5 0.05025837 0.00000000 0.04839879
279 2 2 1 6 0.58308563 -0.00000000 0.55019539
280 2 2 1 7 0.39479765 0.00000000 0.38104261
281 2 2 1 8 -0.01802049 -0.00000000 0.02036015
282 2 2 1 9 0.41892349 0.00000000 0.42893639
283 2 2 1 10 -0.13800757 -0.00000000 0.18680571
284 2 2 1 11 0.29979232 0.00000000 0.18336918
285 2 2 1 12 0.03671372 0.00000000 0.02806798
286 2 2 1 13 -0.62797908 -0.00000000 0.43606347
287 2 2 1 14 0.31161963 0.00000000 0.27442446
288 2 2 1 15 0.38865695 0.00000000 0.32812258
289 2 2 2 0 0.00778262 -0.00000000 0.00930442
290 2 2 2 1 0.27039390 0.00000000 0.12939843
291 2 2 2 2 3.83334835 -0.00000000 1.23416893
292 2 2 2 3 0.07204582 0.00000000 0.02456502
293 2 2 2 4 0.03871169 -0.00000000 0.03410084
294 2 2 2 5 0.03948231 0.00000000 0.03645303
295 2 2 2 6 0.20085770 -0.00000000 0.22942951
296 2 2 2 7 0.06337786 0.00000000 0.06030147
297 2 2 2 8 0.05449266 -0.00000000 0.03958778
298 2 2 2 9 0.08737880 -0.00000000 0.09112645
299 2 2 2 10 0.04485229 -0.00000000 0.05115129
300 2 2 2 11 0.14711599 0.00000000 0.06078701
301 2 2 2 12 -0.00105401 -0.00000000 0.01387934
302 2 2 2 13 0.04402897 -0.00000000 0.06363244
303 2 2 2 14 0.04900812 0.00000000 0.14388004
304 2 2 2 15 0.24408401 0.00000000 0.10953124
305 2 2 3 0 -0.02256524 0.00000000 0.03491745
306 2 2 3 1 0.13093130 0.00000000 0.09282035
307 2 2 3 2 0.07204582 0.00000000 0.02456502
308 2 2 3 3 1.39836137 -0.00000000 0.50761313
309 2 2 3 4 -0.04142991 0.00000000 0.04216672
310 2 2 3 5 -0.00519926 0.00000000 0.00470430
311 2 2 3 6 0.09413095 0.00000000 0.07176566
312 2 2 3 7 0.14148298 0.00000000 0.10261070
313 2 2 3 8 0.00716546 -0.00000000 0.00637574
314 2 2 3 9 0.05559924 0.00000000 0.05269055
315 2 2 3 10 -0.02836820 0.00000000 0.06162327
316 2 2 3 11 0.08779568 0.00000000 0.04410362
317 2 2 3 12 -0.00490524 0.00000000 0.02079658
318 2 2 3 13 0.03857640 -0.00000000 0.01168028
319 2 2 3 14 -0.00693309 0.00000000 0.04095692
320 2 2 3 15 0.07168716 0.00000000 0.02753433
321 2 2 4 0 -0.08300550 -0.00000000 0.04003997
322 2 2 4 1 -0.01089374 -0.00000000 0.01955185
323 2 2 4 2 0.03871169 -0.00000000 0.03410084
324 2 2 4 3 -0.04142991 0.00000000 0.04216672
325 2 2 4 4 0.83993789 -0.00000000 0.41942082
326 2 2 4 5 0.07973988 -0.00000000 0.07523844
327 2 2 4 6 0.18294551 -0.00000000 0.18107351
328 2 2 4 7 0.05386377 0.00000000 0.04464763
329 2 2 4 8 0.11958361 -0.00000000 0.13773213
330 2 2 4 9 -0.02367488 -0.00000000 0.02087522
331 2 2 4 10 0.03029126 -0.00000000 0.02865288
332 2 2 4 11 0.04578536 -0.00000000 0.04198253
333 2 2 4 12 0.13366292 -0.00000000 0.12545043
334 2 2 4 13 0.08901384 -0.00000000 0.08523050
335 2 2 4 14 -0.00751432 -0.00000000 0.01025943
336 2 2 4 15 -0.00231658 -0.00000000 0.00636839
337 2 2 5 0 0.00978200 -0.00000000 0.03360344
338 2 2 5 1 -0.13898672 0.00000000 0.08886400
339 2 2 5 2 0.03948231 0.00000000 0.03645303
340 2 2 5 3 -0.00519926 0.00000000 0.00470430
341 2 2 5 4 0.07973988 -0.00000000 0.07523844
