INDEX HOPPING_ID_2 HOPPING_ID_1 K_2 K_1 MEAN_R MEAN_I STD
189 1 1 11 12 -2.52362419 1.69662366 3.26296021
190 1 1 11 13 -2.88851532 -0.69055558 3.46399398
191 1 1 11 14 -2.21218889 -5.32919476 5.62059826
192 1 1 11 15 3.24527629 -2.16482528 6.79406599
193 1 1 12 0 3.21294183 -2.31178159 7.14316228
194 1 1 12 1 -2.32551812 -9.84134114 5.58767784
195 1 1 12 2 8.48122889 9.26566438 9.75846656
196 1 1 12 3 -6.76023468 -6.17106461 11.12733898
197 1 1 12 4 39.58615392 0.30883737 11.66758309
198 1 1 12 5 -4.40886089 2.75398060 7.49808221
199 1 1 12 6 9.08443477 -7.59754281 8.71991608
200 1 1 12 7 -2.12381463 9.79838764 5.82233744
201 1 1 12 8 -0.92006662 3.65920183 4.38598220
202 1 1 12 9 -3.78712289 -0.31162875 4.49171657
203 1 1 12 10 -0.12693430 1.01540767 4.48640515
204 1 1 12 11 -2.31334912 1.71075760 3.17471386
205 1 1 12 12 -3.00511396 0.33374983 3.40264138
206 1 1 12 13 0.71223509 -2.16788458 3.52104906
207 1 1 12 14 -5.23170671 3.95437004 5.58072731
208 1 1 12 15 -4.54782248 -3.26373997 4.22456554
209 1 1 13 0 -8.12570745 -8.63877842 8.56287170
210 1 1 13 1 5.62943206 4.36255919 4.09886146
211 1 1 13 2 -6.66847402 -9.81389768 12.88292757
212 1 1 13 3 43.21557961 0.18225436 15.58242519
213 1 1 13 4 -6.92245936 5.99782226 11.25289557
214 1 1 13 5 5.30720243 -1.41409186 3.37217999
215 1 1 13 6 -5.98994418 11.40202036 8.86221389
216 1 1 13 7 0.65956033 -3.38728691 10.02576946
217 1 1 13 8 -0.36504076 4.59444216 4.09907964
218 1 1 13 9 1.87219903 3.99626986 6.80922282
219 1 1 13 10 -1.36794667 5.39298937 4.64656601
220 1 1 13 11 -2.56502994 -0.69055558 3.36449347
221 1 1 13 12 0.92251017 -2.18201852 3.59702048
222 1 1 13 13 -4.30350885 0.43475999 2.98937705
223 1 1 13 14 1.52078350 -7.48677761 7.08454213
224 1 1 13 15 3.93415029 0.73497378 8.12761178
225 1 1 14 0 5.90748315 1.28749444 3.41295622
226 1 1 14 1 -2.45010685 -7.48366436 8.57586929
227 1 1 14 2 42.24809964 -0.05096477 16.06926118
228 1 1 14 3 -6.77389944 9.32916077 12.83408316
229 1 1 14 4 8.17903989 -9.47972501 9.68994448
230 1 1 14 5 -4.96558559 8.50823436 6.39999952
231 1 1 14 6 -1.59756845 -5.74825459 12.02867828
232 1 1 14 7 5.41466842 3.55195906 7.72856423
233 1 1 14 8 -5.85419217 -0.31390667 3.78693535
234 1 1 14 9 -0.13182032 4.93778389 4.73194750
235 1 1 14 10 -7.20006482 0.79881397 6.92045976
236 1 1 14 11 -1.83913309 -5.39089470 5.56325956
237 1 1 14 12 -5.28586158 3.99622161 5.75509003
238 1 1 14 13 1.28719655 -7.72848349 7.15292436
239 1 1 14 14 4.40229324 5.31236471 12.76425953
240 1 1 14 15 -7.70027932 -3.21110459 7.28124570
241 1 1 15 0 -7.75412319 -5.51563811 9.93695758
242 1 1 15 1 38.27822354 -0.13065610 12.80286158
243 1 1 15 2 -2.49021514 6.84050498 8.35015592
244 1 1 15 3 5.58881047 -4.44741854 4.08969548
245 1 1 15 4 -2.38897669 9.70511828 5.71271296
246 1 1 15 5 -1.71915154 -1.23324344 7.50828255
247 1 1 15 6 1.95572505 4.02265817 4.58436546
248 1 1 15 7 0.98644821 0.22004913 5.27965858
249 1 1 15 8 0.89212487 0.48640659 3.09367547
250 1 1 15 9 -4.59159044 6.32989132 8.04882916
251 1 1 15 10 -4.59255593 -6.83453115 7.84962156
252 1 1 15 11 3.22418670 -2.27815753 6.72139242
253 1 1 15 12 -5.03822021 -3.80759319 4.46143185
254 1 1 15 13 3.61034207 0.64526767 8.03272577
255 1 1 15 14 -7.83764193 -3.32733185 7.35459294
256 1 1 15 15 5.84226235 2.85552708 3.67102926
257 2 2 0 0 49.30360198 -0.00000000 19.77001331
258 2 2 0 1 2.05628046 -0.46280598 5.45566940
259 2 2 0 2 5.32017808 4.98376949 10.79302849
260 2 2 0 3 -3.81172947 -7.72641693 3.48134251
261 2 2 0 4 -11.20309764 2.81067996 8.24181523
262 2 2 0 5 -6.83959200 1.76214228 3.55256782
263 2 2 0 6 -1.26338309 -8.84358717 12.86058097
264 2 2 0 7 -5.90024056 2.76987898 3.37110793
265 2 2 0 8 10.28400272 -0.00000000 6.21306884
266 2 2 0 9 -5.90024056 -2.76987898 3.37110793
267 2 2 0 10 -1.26338309 8.84358717 12.86058097
268 2 2 0 11 -6.83959200 -1.76214228 3.55256782
269 2 2 0 12 -11.20309764 -2.81067996 8.24181523
270 2 2 0 13 -3.81172947 7.72641693 3.48134251
271 2 2 0 14 5.32017808 -4.98376949 10.79302849
272 2 2 0 15 2.05628046 0.46280598 5.45566940
273 2 2 1 0 3.81420142 -0.67138542 4.47085690
274 2 2 1 1 0.97477278 4.71445764 9.04661948
275 2 2 1 2 -4.00512788 -8.22657363 3.40634114
276 2 2 1 3 -7.15501711 -0.40977417 7.20200993
277 2 2 1 4 -4.50974000 1.51694221 2.34308995
278 2 2 1 5 1.97004789 -3.94587212 6.71888761
279 2 2 1 6 -7.40948857 3.00970046 3.88341341
280 2 2 1 7 13.84160141 0.28002487 6.68247342
281 2 2 1 8 -4.01784315 -1.21431803 3.18964643
282 2 2 1 9 3.81824330 4.55510429 7.50537751
283 2 2 1 10 -0.91822994 0.64134255 4.95519844
284 2 2 1 11 -8.11562718 -0.99618323 7.79476005
285 2 2 1 12 -6.14873877 4.20363160 3.24076136
286 2 2 1 13 1.97543404 -4.02378923 7.51964524
287 2 2 1 14 0.30125583 -5.10874319 4.16698814
288 2 2 1 15 36.23309374 0.65539122 8.72708222
289 2 2 2 0 5.88147408 4.87894287 10.33281411
290 2 2 2 1 -4.19156226 -6.95003168 3.13921266
291 2 2 2 2 -3.69336726 0.84244262 4.97727071
292 2 2 2 3 -2.26314937 -1.91071624 3.65370581
293 2 2 2 4 1.23215555 -3.48270210 6.91217978
294 2 2 2 5 -4.96968246 2.95033218 3.17031034
295 2 2 2 6 11.74338668 -2.81656741 4.55579215
296 2 2 2 7 -3.92367458 -2.96850449 3.38759877
297 2 2 2 8 0.41165268 6.12742984 9.02053365
298 2 2 2 9 -2.71242241 -0.33163468 2.30169326
299 2 2 2 10 -8.61635134 3.08903979 9.96390691
300 2 2 2 11 -5.99983658 4.12364058 4.03378693
301 2 2 2 12 -0.73468564 -4.47131752 8.46933168
302 2 2 2 13 4.34584047 -2.36417551 3.30548772
303 2 2 2 14 41.51494325 0.00000000 11.20895065
304 2 2 2 15 2.05917680 4.90016376 4.02121195
305 2 2 3 0 -3.99816385 -6.44987498 3.11682065
306 2 2 3 1 -7.38263499 0.16404000 7.19386607
307 2 2 3 2 -2.27796595 -0.54990298 3.97201565
308 2 2 3 3 3.86006473 -3.86709049 6.34832706
309 2 2 3 4 -3.98416502 2.05526540 2.95194616
310 2 2 3 5 11.80777320 -0.42908582 4.74134712
311 2 2 3 6 -8.71667629 -2.58245075 4.23204986
312 2 2 3 7 3.67463201 3.48478295 5.89502432
313 2 2 3 8 -3.02932315 0.35785547 2.63824977
314 2 2 3 9 -4.86715860 0.73200772 5.11466539
315 2 2 3 10 -4.92837736 9.68110484 4.13892175
316 2 2 3 11 0.87583435 -2.11538308 7.17805352
317 2 2 3 12 1.48529726 -1.94528760 3.01222097
318 2 2 3 13 33.37166842 -0.65539122 6.66653551
319 2 2 3 14 2.58791950 2.57275495 3.67175079
320 2 2 3 15 1.97543404 4.02378923 7.51964524
321 2 2 4 0 -11.20309764 2.81067996 8.24181523
322 2 2 4 1 -4.52455658 2.87775547 2.45616026
323 2 2 4 2 1.79345154 -3.07761127 6.60051456
324 2 2 4 3 -5.30723922 1.62162902 3.20219001
325 2 2 4 4 13.92834595 -0.32238410 8.05194496
326 2 2 4 5 -3.75612498 -2.23845783 3.61220786
327 2 2 4 6 4.59629058 4.78889998 8.06617407
328 2 2 4 7 -1.77885206 -1.05239604 3.60335916
329 2 2 4 8 -6.93937636 -3.20659254 6.52176477
330 2 2 4 9 -4.93265456 6.69717773 3.09829812
331 2 2 4 10 1.44287079 -6.57376313 10.70796153
332 2 2 4 11 0.38298867 -3.23172407 3.51831840
333 2 2 4 12 34.07654077 0.00000000 9.20462511
334 2 2 4 13 -0.27262371 2.15386704 3.75143363
335 2 2 4 14 -1.29598163 4.57614414 9.28162370
336 2 2 4 15 -5.96230439 -5.48017355 3.04105848
337 2 2 5 0 -6.82477542 0.40132902 4.01429156
338 2 2 5 1 1.97004789 -3.94587212 6.71888761
339 2 2 5 2 -6.29275666 2.51669580 3.52254776
340 2 2 5 3 11.80777320 -0.59223993 4.77651748
341 2 2 5 4 -2.43305078 -2.67209421 3.57786712
342 2 2 5 5 5.03466118 3.37570966 6.30256313
343 2 2 5 6 -0.99589985 -1.44058173 3.91879514
344 2 2 5 7 -7.22057318 -1.18794337 7.44623145
345 2 2 5 8 -3.62411625 3.45026493 3.15206185
346 2 2 5 9 0.48925360 -4.45556097 7.70599099
347 2 2 5 10 0.81847721 -5.25108399 3.95959529
348 2 2 5 11 36.10892055 0.65539122 8.94797455
349 2 2 5 12 2.14090964 3.02314463 3.09095629
350 2 2 5 13 0.87583435 2.11538308 7.17805352
351 2 2 5 14 -5.81340220 -5.40018253 3.72550832
352 2 2 5 15 -7.88800929 0.42236906 7.78953957
353 2 2 6 0 -1.82467908 -9.24867799 13.26179521
354 2 2 6 1 -6.08641437 3.44333684 3.18758157
355 2 2 6 2 11.74338668 -2.81656741 4.55579215
356 2 2 6 3 -7.39360209 -3.01608713 3.41451974
357 2 2 6 4 4.03499458 5.19399080 8.21959399
358 2 2 6 5 -0.98108327 -0.07976847 3.21163978
359 2 2 6 6 -5.83139009 5.33694226 8.55649011
360 2 2 6 7 -4.68880201 5.79007793 3.01500102
361 2 2 6 8 3.92555825 -1.77259845 6.17913982
362 2 2 6 9 1.69396569 -2.40110762 3.23285897
363 2 2 6 10 43.88592614 0.00000000 14.00206025
364 2 2 6 11 2.57639818 5.04250455 3.88677174
365 2 2 6 12 2.00416678 6.46893651 10.00849687
366 2 2 6 13 -5.11481174 -8.40456288 3.92602010
367 2 2 6 14 -8.61635134 -3.08903979 9.96390691
368 2 2 6 15 -0.90341335 -2.00215581 4.56735767
369 2 2 7 0 -4.57716636 3.20351536 3.13993222
370 2 2 7 1 13.84160141 0.44317898 6.69149707
371 2 2 7 2 -5.24674878 -2.53486811 3.62745693
372 2 2 7 3 3.67463201 3.48478295 5.89502432
373 2 2 7 4 -1.76403547 0.30841722 3.28740646
374 2 2 7 5 -6.99295530 -0.61412920 7.44081295
375 2 2 7 6 -4.50236762 7.06661989 3.19861387
376 2 2 7 7 1.17098409 -3.73691879 8.12199212
377 2 2 7 8 -0.07632757 -1.76006877 3.61815076
378 2 2 7 9 34.45643912 -0.65539122 7.87676292
379 2 2 7 10 -0.06395528 2.60968706 4.07731552
380 2 2 7 11 0.48925360 4.45556097 7.70599099
381 2 2 7 12 -5.11908895 -5.42063578 3.10153632
382 2 2 7 13 -5.09477648 -0.15819356 5.08697212
383 2 2 7 14 -2.72723900 1.69244794 2.82044618
384 2 2 7 15 3.81824330 -4.55510429 7.50537751
385 2 2 8 0 10.28400272 -0.00000000 6.21306884
386 2 2 8 1 -5.34091734 -0.78068165 3.14184362
387 2 2 8 2 0.97294867 5.72233902 8.65464730
388 2 2 8 3 -3.04413974 -1.00295779 2.84654395
389 2 2 8 4 -6.93937636 -3.20659254 6.52176477
390 2 2 8 5 -3.43768187 4.72680689 3.31184875
391 2 2 8 6 3.36426225 -1.87742507 6.64454648
392 2 2 8 7 -1.83424853 -1.96864821 4.60923095
393 2 2 8 8 36.57789771 0.00000000 12.56076286
394 2 2 8 9 -1.83424853 1.96864821 4.60923095
395 2 2 8 10 3.36426225 1.87742507 6.64454648
396 2 2 8 11 -3.43768187 -4.72680689 3.31184875
397 2 2 8 12 -6.93937636 3.20659254 6.52176477
398 2 2 8 13 -3.04413974 1.00295779 2.84654395
399 2 2 8 14 0.97294867 -5.72233902 8.65464730
400 2 2 8 15 -5.34091734 0.78068165 3.14184362
401 2 2 9 0 -4.57716636 -3.20351536 3.13993222
402 2 2 9 1 3.81824330 4.55510429 7.50537751
403 2 2 9 2 -2.72723900 -1.69244794 2.82044618
404 2 2 9 3 -5.09477648 0.15819356 5.08697212
405 2 2 9 4 -5.11908895 5.42063578 3.10153632
406 2 2 9 5 0.48925360 -4.45556097 7.70599099
407 2 2 9 6 -0.06395528 -2.60968706 4.07731552
408 2 2 9 7 34.45643912 0.65539122 7.87676292
409 2 2 9 8 -0.07632757 1.76006877 3.61815076
410 2 2 9 9 1.17098409 3.73691879 8.12199212
411 2 2 9 10 -4.50236762 -7.06661989 3.19861387
412 2 2 9 11 -6.99295530 0.61412920 7.44081295
413 2 2 9 12 -1.76403547 -0.30841722 3.28740646
414 2 2 9 13 3.67463201 -3.48478295 5.89502432
415 2 2 9 14 -5.24674878 2.53486811 3.62745693
416 2 2 9 15 13.84160141 -0.44317898 6.69149707
417 2 2 10 0 -1.82467908 9.24867799 13.26179521
418 2 2 10 1 -0.90341335 2.00215581 4.56735767
419 2 2 10 2 -8.61635134 3.08903979 9.96390691
420 2 2 10 3 -5.11481174 8.40456288 3.92602010
421 2 2 10 4 2.00416678 -6.46893651 10.00849687
422 2 2 10 5 2.57639818 -5.04250455 3.88677174
423 2 2 10 6 43.88592614 0.00000000 14.00206025
424 2 2 10 7 1.69396569 2.40110762 3.23285897
425 2 2 10 8 3.92555825 1.77259845 6.17913982
426 2 2 10 9 -4.68880201 -5.79007793 3.01500102
427 2 2 10 10 -5.83139009 -5.33694226 8.55649011
428 2 2 10 11 -0.98108327 0.07976847 3.21163978
429 2 2 10 12 4.03499458 -5.19399080 8.21959399
430 2 2 10 13 -7.39360209 3.01608713 3.41451974
431 2 2 10 14 11.74338668 2.81656741 4.55579215
432 2 2 10 15 -6.08641437 -3.44333684 3.18758157
433 2 2 11 0 -6.82477542 -0.40132902 4.01429156
434 2 2 11 1 -7.88800929 -0.42236906 7.78953957
435 2 2 11 2 -5.81340220 5.40018253 3.72550832
436 2 2 11 3 0.87583435 -2.11538308 7.17805352
437 2 2 11 4 2.14090964 -3.02314463 3.09095629
438 2 2 11 5 36.10892055 -0.65539122 8.94797455
439 2 2 11 6 0.81847721 5.25108399 3.95959529
440 2 2 11 7 0.48925360 4.45556097 7.70599099
441 2 2 11 8 -3.62411625 -3.45026493 3.15206185
442 2 2 11 9 -7.22057318 1.18794337 7.44623145
443 2 2 11 10 -0.99589985 1.44058173 3.91879514
444 2 2 11 11 5.03466118 -3.37570966 6.30256313
445 2 2 11 12 -2.43305078 2.67209421 3.57786712
446 2 2 11 13 11.80777320 0.59223993 4.77651748
447 2 2 11 14 -6.29275666 -2.51669580 3.52254776
448 2 2 11 15 1.97004789 3.94587212 6.71888761
449 2 2 12 0 -11.20309764 -2.81067996 8.24181523
450 2 2 12 1 -5.96230439 5.48017355 3.04105848
451 2 2 12 2 -1.29598163 -4.57614414 9.28162370
452 2 2 12 3 -0.27262371 -2.15386704 3.75143363
453 2 2 12 4 34.07654077 0.00000000 9.20462511
454 2 2 12 5 0.38298867 3.23172407 3.51831840
455 2 2 12 6 1.44287079 6.57376313 10.70796153
456 2 2 12 7 -4.93265456 -6.69717773 3.09829812
457 2 2 12 8 -6.93937636 3.20659254 6.52176477
458 2 2 12 9 -1.77885206 1.05239604 3.60335916
459 2 2 12 10 4.59629058 -4.78889998 8.06617407
460 2 2 12 11 -3.75612498 2.23845783 3.61220786
461 2 2 12 12 13.92834595 0.32238410 8.05194496
462 2 2 12 13 -5.30723922 -1.62162902 3.20219001
463 2 2 12 14 1.79345154 3.07761127 6.60051456
464 2 2 12 15 -4.52455658 -2.87775547 2.45616026
465 2 2 13 0 -3.99816385 6.44987498 3.11682065
466 2 2 13 1 1.97543404 -4.02378923 7.51964524
467 2 2 13 2 2.58791950 -2.57275495 3.67175079
468 2 2 13 3 33.37166842 0.65539122 6.66653551
469 2 2 13 4 1.48529726 1.94528760 3.01222097
470 2 2 13 5 0.87583435 2.11538308 7.17805352
471 2 2 13 6 -4.92837736 -9.68110484 4.13892175
472 2 2 13 7 -4.86715860 -0.73200772 5.11466539
473 2 2 13 8 -3.02932315 -0.35785547 2.63824977
474 2 2 13 9 3.67463201 -3.48478295 5.89502432
475 2 2 13 10 -8.71667629 2.58245075 4.23204986
476 2 2 13 11 11.80777320 0.42908582 4.74134712
