INDEX BOND_ID_2 BOND_ID_1 R_2 R_1 MEAN_R MEAN_I STD
112 1 1 6 15 3.98189438 0.02177714 0.08016913
113 1 1 7 0 3.93077903 -0.08488679 0.10361513
114 1 1 7 1 4.14694179 0.01692794 0.17644952
115 1 1 7 2 3.99713565 0.01665435 0.02896427
116 1 1 7 3 3.99128942 -0.03494172 0.05589419
117 1 1 7 4 3.95966337 -0.12827796 0.07577626
118 1 1 7 5 3.93666957 -0.02370545 0.09640626
119 1 1 7 6 3.98670838 -0.08913144 0.09870126
120 1 1 7 7 4.00070326 -0.12859225 0.11680679
121 1 1 7 8 3.92539148 -0.15056535 0.14837258
122 1 1 7 9 4.07259893 -0.00604821 0.08357603
123 1 1 7 10 3.97831385 -0.13497389 0.12074497
124 1 1 7 11 4.08853475 0.05271841 0.08869145
125 1 1 7 12 4.00522129 -0.17312971 0.11231562
126 1 1 7 13 3.88549528 -0.17002355 0.22108764
127 1 1 7 14 4.00124678 -0.01754884 0.03877975
128 1 1 7 15 4.02573182 -0.01768367 0.07690191
129 1 1 8 0 3.96215410 -0.10685989 0.09782722
130 1 1 8 1 4.10021579 -0.00504516 0.12654129
131 1 1 8 2 3.98096790 -0.00531875 0.04115414
132 1 1 8 3 3.99871266 -0.05691482 0.06051703
133 1 1 8 4 3.93077120 -0.15025105 0.11163661
134 1 1 8 5 3.97221185 -0.04567854 0.09717255
135 1 1 8 6 4.00526532 -0.11110454 0.12042342
136 1 1 8 7 3.92539148 -0.15056535 0.14837258
137 1 1 8 8 4.34641663 -0.17253845 0.18153260
138 1 1 8 9 3.97351676 -0.02802131 0.01229968
139 1 1 8 10 3.95401580 -0.15694699 0.15181133
140 1 1 8 11 4.02827123 0.03074531 0.07393008
141 1 1 8 12 3.78466513 -0.19510280 0.15441454
142 1 1 8 13 3.91093073 -0.19199665 0.23307291
143 1 1 8 14 4.01364716 -0.03952193 0.03841179
144 1 1 8 15 4.01142058 -0.03965677 0.09105404
145 1 1 9 0 3.98107941 0.03765725 0.07097129
146 1 1 9 1 3.83368988 0.13947198 0.27873679
147 1 1 9 2 3.97336188 0.13919838 0.12784237
148 1 1 9 3 4.00336224 0.08760232 0.12153984
149 1 1 9 4 3.99005466 -0.00573392 0.07495681
150 1 1 9 5 4.09554792 0.09883859 0.12893664
151 1 1 9 6 3.92709232 0.03341260 0.08988025
152 1 1 9 7 4.07259893 -0.00604821 0.08357603
153 1 1 9 8 3.97351676 -0.02802131 0.01229968
154 1 1 9 9 4.15028090 0.11649582 0.17173306
155 1 1 9 10 4.08864533 -0.01242986 0.17659159
156 1 1 9 11 3.85027886 0.17526244 0.20598659
157 1 1 9 12 4.05430372 -0.05058567 0.07349617
158 1 1 9 13 4.04603697 -0.04747952 0.08565629
159 1 1 9 14 4.02155348 0.10499520 0.14270892
160 1 1 9 15 3.97736475 0.10486037 0.10476036
161 1 1 10 0 4.04783077 -0.09126844 0.09650180
162 1 1 10 1 4.16003833 0.01054629 0.17985725
163 1 1 10 2 4.03264692 0.01027270 0.04776237
164 1 1 10 3 3.98729699 -0.04132336 0.05900390
165 1 1 10 4 4.01597230 -0.13465960 0.09396049
166 1 1 10 5 3.92737518 -0.03008709 0.10853009
167 1 1 10 6 4.02910722 -0.09551308 0.11374243
168 1 1 10 7 3.97831385 -0.13497389 0.12074497
169 1 1 10 8 3.95401580 -0.15694699 0.15181133
170 1 1 10 9 4.08864533 -0.01242986 0.17659159
171 1 1 10 10 3.94019241 -0.14135554 0.28073330
172 1 1 10 11 4.08677995 0.04633676 0.13117411
173 1 1 10 12 3.93684466 -0.17951135 0.14052889
174 1 1 10 13 3.75258202 -0.17640520 0.32344641
175 1 1 10 14 3.93481193 -0.02393048 0.04992969
