INDEX BOND_ID_2 BOND_ID_1 K_2 K_1 MEAN_R MEAN_I STD
110 1 1 6 13 -0.50866992 1.74268145 2.17575891
111 1 1 6 14 -1.10122177 3.00802477 3.28146532
112 1 1 6 15 -0.40255825 2.19697732 1.87899579
113 1 1 7 0 -1.38867853 3.14478525 3.87178363
114 1 1 7 1 1.83615692 1.18274182 1.06826495
115 1 1 7 2 0.14576628 -1.06281114 1.04201233
116 1 1 7 3 0.36261015 0.56157203 1.21094027
117 1 1 7 4 0.72153473 0.04993216 0.49169553
118 1 1 7 5 1.65995169 -0.28614115 1.53560797
119 1 1 7 6 -2.23904632 1.29873171 1.99581818
120 1 1 7 7 0.91245682 1.63874695 0.71006026
121 1 1 7 8 0.25041612 1.92495130 1.26011436
122 1 1 7 9 2.25099710 0.00000000 0.96585325
123 1 1 7 10 0.99516236 0.14997987 0.96922169
124 1 1 7 11 0.45301592 -1.21467078 0.55321840
125 1 1 7 12 -0.48356984 -0.10441425 0.53745482
126 1 1 7 13 0.59134346 0.11004202 0.51983390
127 1 1 7 14 0.40270295 0.07060682 0.67128656
128 1 1 7 15 -0.03088578 -1.38011955 0.99070889
129 1 1 8 0 -0.47344202 -7.20817798 5.06781760
130 1 1 8 1 0.88810531 0.22793621 0.76860661
131 1 1 8 2 1.07729690 -0.54167660 1.15868279
132 1 1 8 3 1.09717241 0.09472685 0.79395615
133 1 1 8 4 0.41207053 0.11447856 0.63564377
134 1 1 8 5 -0.68856983 0.20392209 0.64659262
135 1 1 8 6 -0.11068022 -0.01056947 1.63611915
136 1 1 8 7 0.25041612 1.92495130 1.26011436
137 1 1 8 8 1.72603042 0.00000000 0.81153376
138 1 1 8 9 0.25041612 -1.92495130 1.26011436
139 1 1 8 10 -0.11068022 0.01056947 1.63611915
140 1 1 8 11 -0.68856983 -0.20392209 0.64659262
141 1 1 8 12 0.41207053 -0.11447856 0.63564377
142 1 1 8 13 1.09717241 -0.09472685 0.79395615
143 1 1 8 14 1.07729690 0.54167660 1.15868279
144 1 1 8 15 0.88810531 -0.22793621 0.76860661
145 1 1 9 0 1.20043939 2.91469273 3.74136795
146 1 1 9 1 -0.03088578 1.38011955 0.99070889
147 1 1 9 2 0.40270295 -0.07060682 0.67128656
148 1 1 9 3 0.59134346 -0.11004202 0.51983390
149 1 1 9 4 -0.48356984 0.10441425 0.53745482
150 1 1 9 5 0.45301592 1.21467078 0.55321840
151 1 1 9 6 0.99516236 -0.14997987 0.96922169
152 1 1 9 7 2.25099710 0.00000000 0.96585325
153 1 1 9 8 0.25041612 -1.92495130 1.26011436
154 1 1 9 9 0.91245682 -1.63874695 0.71006026
155 1 1 9 10 -2.23904632 -1.29873171 1.99581818
156 1 1 9 11 1.65995169 0.28614115 1.53560797
157 1 1 9 12 0.72153473 -0.04993216 0.49169553
158 1 1 9 13 0.36261015 -0.56157203 1.21094027
159 1 1 9 14 0.14576628 1.06281114 1.04201233
160 1 1 9 15 1.83615692 -1.18274182 1.06826495
161 1 1 10 0 -4.64782264 0.97821313 7.21947677
162 1 1 10 1 -0.40255825 -2.19697732 1.87899579
163 1 1 10 2 -1.10122177 -3.00802477 3.28146532
164 1 1 10 3 -0.50866992 -1.74268145 2.17575891
165 1 1 10 4 0.83947851 1.04483428 0.73909794
166 1 1 10 5 0.37377134 1.73580643 2.09262045
167 1 1 10 6 0.75174066 -0.00000000 2.57712986
168 1 1 10 7 0.99516236 0.14997987 0.96922169
169 1 1 10 8 -0.11068022 0.01056947 1.63611915
170 1 1 10 9 -2.23904632 -1.29873171 1.99581818
171 1 1 10 10 3.83257272 3.65455132 5.05897140
172 1 1 10 11 -0.77434299 1.95120367 1.98086636
173 1 1 10 12 0.32342467 -0.42686617 0.34548166
174 1 1 10 13 1.75583483 -1.10343695 2.03567216
175 1 1 10 14 5.54579488 -1.30032019 2.90475382
176 1 1 10 15 2.23624228 -1.65797151 2.62277157
177 1 1 11 0 1.74130045 -5.77167554 4.67489478
178 1 1 11 1 1.06705349 -0.64042611 0.96807807
179 1 1 11 2 -0.51877032 -0.66074515 1.32186443
180 1 1 11 3 1.17369262 0.40746430 1.30680540
181 1 1 11 4 0.08008821 0.45083592 0.31338591
182 1 1 11 5 2.18333821 0.00000000 0.45251652
183 1 1 11 6 0.37377134 -1.73580643 2.09262045
184 1 1 11 7 0.45301592 -1.21467078 0.55321840
185 1 1 11 8 -0.68856983 -0.20392209 0.64659262
186 1 1 11 9 1.65995169 0.28614115 1.53560797
187 1 1 11 10 -0.77434299 1.95120367 1.98086636
188 1 1 11 11 -0.84298601 -1.41977110 1.64504259
189 1 1 11 12 0.28791669 0.35317887 0.57346288
190 1 1 11 13 2.26414628 0.47630618 0.79325275
191 1 1 11 14 0.49484584 0.72034470 1.23349939
192 1 1 11 15 0.38433736 0.42675725 1.37560625
193 1 1 12 0 0.98723881 -4.98175499 3.33623436
194 1 1 12 1 0.01991642 0.54690519 0.44689903
195 1 1 12 2 -0.13401844 1.05093589 0.38707202
196 1 1 12 3 0.21642897 0.64176164 0.32882174
197 1 1 12 4 1.06869096 0.00000000 0.34103179
198 1 1 12 5 0.08008821 -0.45083592 0.31338591
199 1 1 12 6 0.83947851 -1.04483428 0.73909794
200 1 1 12 7 -0.48356984 -0.10441425 0.53745482
201 1 1 12 8 0.41207053 -0.11447856 0.63564377
202 1 1 12 9 0.72153473 -0.04993216 0.49169553
203 1 1 12 10 0.32342467 -0.42686617 0.34548166
204 1 1 12 11 0.28791669 0.35317887 0.57346288
205 1 1 12 12 -0.22355021 0.76441825 0.70698748
206 1 1 12 13 0.26982490 -0.24662756 0.28129217
207 1 1 12 14 0.09316021 0.58450179 0.51297102
208 1 1 12 15 0.26298019 0.24237883 0.21910213
209 1 1 13 0 1.65700978 2.95806757 3.33395504
210 1 1 13 1 -0.97987258 1.37197176 1.27252542
211 1 1 13 2 -0.70460977 0.55364898 1.16187501
212 1 1 13 3 2.79598674 0.00000000 0.70793687
213 1 1 13 4 0.21642897 -0.64176164 0.32882174
214 1 1 13 5 1.17369262 -0.40746430 1.30680540
215 1 1 13 6 -0.50866992 1.74268145 2.17575891
