INDEX BOND_ID_2 BOND_ID_1 K_2 K_1 MEAN_R MEAN_I STD
477 2 2 13 12 1.06624400 -0.75613102 4.02199551
478 2 2 13 13 -9.88596040 -1.93308973 5.60648154
479 2 2 13 14 2.04203502 -8.75527032 8.68256363
480 2 2 13 15 -1.42228363 1.31579240 7.23525709
481 2 2 14 0 10.26137867 5.51066217 8.70686933
482 2 2 14 1 -7.56126522 -12.08228593 16.66020945
483 2 2 14 2 48.30459109 0.36179982 21.97984152
484 2 2 14 3 -7.06944592 8.84527782 13.18029845
485 2 2 14 4 7.80435246 -4.95798820 6.19944049
486 2 2 14 5 -9.43370742 8.65106616 9.66685396
487 2 2 14 6 2.04696024 -8.60270051 14.74708236
488 2 2 14 7 7.59101033 2.17536063 9.23276608
489 2 2 14 8 -1.63712285 2.60705595 3.29248881
490 2 2 14 9 -1.09887755 5.50843484 5.63428932
491 2 2 14 10 -8.38686912 4.78056166 9.85431721
492 2 2 14 11 -5.59279492 -10.34013361 10.97200629
493 2 2 14 12 -0.46089124 2.41680100 5.11909935
494 2 2 14 13 2.21988048 -8.73955566 8.78114431
495 2 2 14 14 9.28159994 13.14824110 21.24915241
496 2 2 14 15 -16.47683277 -6.11431223 14.88680625
497 2 2 15 0 -4.27999264 -0.15257182 7.42233588
498 2 2 15 1 49.78923767 0.33425945 16.56957100
499 2 2 15 2 -7.74505339 12.37637595 16.95334740
500 2 2 15 3 4.84148309 -10.12952801 6.90824385
501 2 2 15 4 -2.10768231 9.16023818 5.45617128
502 2 2 15 5 -0.20799812 -4.10833348 11.64987040
503 2 2 15 6 5.87631389 10.89527874 10.89777605
504 2 2 15 7 -5.49854157 6.24624053 6.74918046
505 2 2 15 8 -1.10538454 3.04768841 2.78183182
506 2 2 15 9 -4.96275323 2.69259088 5.18706613
507 2 2 15 10 -2.83109272 -5.66681145 6.55128336
508 2 2 15 11 9.53207883 2.82466281 12.93868396
509 2 2 15 12 -3.55152738 1.17057752 5.07637892
510 2 2 15 13 -1.05608569 1.89502296 7.59031205
511 2 2 15 14 -16.35540273 -5.99662267 14.93168423
512 2 2 15 15 4.82852769 -3.52357280 12.08329165
