INDEX PHOTON_ID_2 PHOTON_ID_1 TAU K_2 K_1 MEAN_R MEAN_I STD
41 1 1 2 2 0 2620026369321509061161927741683910650565411540711307032543718658328929367356287650876811962105138445546121295275866779662400471995151865783356516783575935428422689216302837563485998697349196101755274845097187061952624961203085712820273152.00000000 -51994563302076361624348966661044632689805377816410013289937864991369331273619203075067016943595078875042189094616614033086763696447248564341778336962447039981847962667930284524567001948373566152246147089777281268758836412416.00000000 Inf
42 1 1 2 2 1 1186922889864855497744003399014531641686957779834041518719431540459067823032125840476241363512557366157407170720726293173562820488431633063123953745699905159622630086742719868607109655279301090921507193834383036513431190093413605741428736.00000000 -21348624287692923820458929043331072265635081779296270386775388038791506711942202975183981164839234294868404913278116575726146410531748900330899907760680000059460993578337465060398692620567200231703587678725902591750924402688.00000000 Inf
43 1 1 2 2 2 1576274152024703143951143681347953545752627348741357018499626170313299194258152882030837067880543529849125384505360998815558945419609829687840858597660683648899071297918597208073580417088024244014150940249607546205257293120035490151530496.00000000 -31917261340404017012866968346607020822057393901116639827566409160127033268223396584532237338988497528634176519495047494115675707958749333284239072054487272894321217848301915586051708358196023887191751698083514369035347165184.00000000 Inf
44 1 1 2 2 3 1186922889864855497744003399014531641686957779834041518719431540459067823032125840476241363512557366157407170720726293173562820488431633063123953745699905159622630086742719868607109655279301090921507193834383036513431190093413605741428736.00000000 -21348624287692923820458929043331072265635081779296270386775388038791506711942202975183981164839234294868404913278116575726146410531748900330899907760680000059460993578337465060398692620567200231703587678725902591750924402688.00000000 Inf
45 1 1 2 3 0 804698726946444512894094822276492001522971262066066544426724146199051960101317419540446941063876322151111099598418921800146931216940979637890750457838345260002038758909287530142930624925046998989648335584819221359440479543496050886049792.00000000 -16859079095232619013483379789192149057424993216239383391415272721454079087881723788451258393901268868885377156681764738899318600668934541618557388141142373894857252481491310334648622358651808097553280349077773796403360825344.00000000 Inf
46 1 1 2 3 1 806989925373433358414312653197763583032496675360421988119809503335297462680708750974569904824222940280848911746321991260083145578902458877348985147513500718723671707668147439874346195459604230861917984341488516785021410723292560171728896.00000000 -8352739870931848712871753841766472478071991717423932192134617182509596188475031924851299093238216801980487564643824311487273533565703525778666243771557486198648686642893843999029498833086087699877120383873501163331736567808.00000000 Inf
47 1 1 2 3 2 804698726972824869848530113531192284825895260973891415913050946551230478234355422195136255178837049031652780901322745956827221273935723728165541494172141848084954256745744425983750928602409007136914576026839037307570443578835741622403072.00000000 -5311041350161920353961507039407385195010295565224385856804400301982034514632227205366157333628112309057211559056086032091481002567968576328089828066326012784554087342098635739825664216020246848415142738870239704177564450816.00000000 Inf
48 1 1 2 3 3 806989925373433358414312653197763583032496675360421988119809503335297462680708750974569904824222940280848911746321991260083145578902458877348985147513500718723671707668147439874346195459604230861917984341488516785021410723292560171728896.00000000 -8352739870931848712871753841766472478071991717423932192134617182509596188475031924851299093238216801980487564643824311487273533565703525778666243771557486198648686642893843999029498833086087699877120383873501163331736567808.00000000 Inf
49 1 1 3 0 0 -92864403394542016258948979484388089093496156596641126415283523886347100275120968175100112905265614814945691107872062900701584333444106596030119453752608154465698712085859891716037805089228433765609780855444775581160096551069810674712444928.00000000 1504638100071678127643005718545616410170777260764795944740675842693129082253042212217440943107437178837044678570209436373957414394793148837661860117203365014372197791499074265849760870767971785987437313604178538952818912395264.00000000 Inf
50 1 1 3 0 1 -306425000830456805423761463321441231160342401578965451697165437250678911283360265703790883961818330309331527741003355162316177176408593500554820680985225923614889866248525214730966399470533158744582745544643923870472606144781006460157952.00000000 5995851189828884764242581188393075971422676104401886752701796485276416989324583564668345770652165408368762428330761870742909208682626846272974630912788739229770236898078867588405213587287812481554643439915116382877346955264.00000000 Inf
51 1 1 3 0 2 297724982132988633447158657094517470163078954436606936301912913225633465159499940180608366437517853389915785232495814671572390055829356639428144561380064088910738512196007735765047410083574334513806100038958847215888985226560931033513984.00000000 -8943364362350712285169106736024337669516613407638725783360902273450540202437723692290611919070086420290198008852141515406754337625107355401784377991107569630935754997382741010549610310940630286789008903237189775183807774720.00000000 Inf
52 1 1 3 0 3 -306425000830456805423761463321441231160342401578965451697165437250678911283360265703790883961818330309331527741003355162316177176408593500554820680985225923614889866248525214730966399470533158744582745544643923870472606144781006460157952.00000000 5995851189828884764242581188393075971422676104401886752701796485276416989324583564668345770652165408368762428330761870742909208682626846272974630912788739229770236898078867588405213587287812481554643439915116382877346955264.00000000 Inf
53 1 1 3 1 0 -1146491496869661958095557754326777327921590344131420495693118334583603802933652258010289796670110855814203955184266278308645568600244479271579781773929371594994466189651108796495910871222119559383346603575300454893000001780154856099545088.00000000 17703663219780463227555720989501193601767548730262733549406261765928235944876180382342955770203090185638699147179480920858644068069346473354379687564730223024825670998083504419341352259434380108037774890914467850027725225984.00000000 Inf
54 1 1 3 1 1 -1144205061783273052823541550247727826159008942819708161628501152647271707839903913938039851429629129218941935251519238808779117963664173720113251066445073992669282692336231159540753256448640449497978382582767588262861243267116939526275072.00000000 18482711678744575141796080940695595699621734574314721357130224007762321714380523244948608059177984161506587510346356739297441421995573581513303641212151446892954696361198346147873780325721746669804097401938039077309272555520.00000000 Inf
55 1 1 3 1 2 -1146491496820017148228167470674810530047877244515078102572645290456881445022012914565578500417045547102589889547916439864161175116719429211860135282697751652444348150834186487989768633526190562412319672055610107916894640576899811899342848.00000000 16986621176318425923720321094949435842964843537066293154975134136094775041004722800771990494393530935562995598634828467041595780541048063221000088161463976684899942384130982014997977595544507646099249304517164880683931271168.00000000 Inf
56 1 1 3 1 3 -1144205061783273052823541550247727826159008942819708161628501152647271707839903913938039851429629129218941935251519238808779117963664173720113251066445073992669282692336231159540753256448640449497978382582767588262861243267116939526275072.00000000 18482711678744575141796080940695595699621734574314721357130224007762321714380523244948608059177984161506587510346356739297441421995573581513303641212151446892954696361198346147873780325721746669804097401938039077309272555520.00000000 Inf
57 1 1 3 2 0 665801905157011459125970327626286374981953611125775994514156160967167749006050959796475054944115812603303276177045322676123050627669483835365949654215132965484927293513588812972658047837698615404346058802093922515694811400040810901667840.00000000 -6268587854213540538576354371755707244626246607196428771856706676377720364332871357301457605477919038720750287622938136447786468263783052256081873418239782667041018031096873929059987644564395723780308778892491641078908190720.00000000 Inf
58 1 1 3 2 1 -765039000744792539993369349918273819996099772792422756626978059546052662017709423445318168242489884822530505486928615079183156228669392136637721636333022115740541336770957659795584802785798699911510982334042320527801622848277854182965248.00000000 11738926321789159623837010689060392750715005168255910795054120761062844376286239808153012592343021999999070828271094510825985423229108100529580417862218016978236259393513856473163722024889526753201482636916276346005932212224.00000000 Inf
59 1 1 3 2 2 -376445115292679030480634099540711697040152703258945224936783624773004835020904683319301707849910531550159938851891557315620095048773691340575593562636397372157803846875598475014982194896986797112800847622790159072379874798783030167076864.00000000 2237588609769887984792355679292652071954350019336974582070609252379958470542691303794467329198529551225514863423496725784427074958643937797088920925362167194641745353344045211429415927166542438506214224161590918249086713856.00000000 Inf
60 1 1 3 2 3 -765039000744792539993369349918273819996099772792422756626978059546052662017709423445318168242489884822530505486928615079183156228669392136637721636333022115740541336770957659795584802785798699911510982334042320527801622848277854182965248.00000000 11738926321789159623837010689060392750715005168255910795054120761062844376286239808153012592343021999999070828271094510825985423229108100529580417862218016978236259393513856473163722024889526753201482636916276346005932212224.00000000 Inf
61 1 1 3 3 0 -1146491496869661958095557754326777327921590344131420495693118334583603802933652258010289796670110855814203955184266278308645568600244479271579781773929371594994466189651108796495910871222119559383346603575300454893000001780154856099545088.00000000 17703663219780463227555720989501193601767548730262733549406261765928235944876180382342955770203090185638699147179480920858644068069346473354379687564730223024825670998083504419341352259434380108037774890914467850027725225984.00000000 Inf
62 1 1 3 3 1 -1144205061783273052823541550247727826159008942819708161628501152647271707839903913938039851429629129218941935251519238808779117963664173720113251066445073992669282692336231159540753256448640449497978382582767588262861243267116939526275072.00000000 18482711678744575141796080940695595699621734574314721357130224007762321714380523244948608059177984161506587510346356739297441421995573581513303641212151446892954696361198346147873780325721746669804097401938039077309272555520.00000000 Inf
63 1 1 3 3 2 -1146491496820017148228167470674810530047877244515078102572645290456881445022012914565578500417045547102589889547916439864161175116719429211860135282697751652444348150834186487989768633526190562412319672055610107916894640576899811899342848.00000000 16986621176318425923720321094949435842964843537066293154975134136094775041004722800771990494393530935562995598634828467041595780541048063221000088161463976684899942384130982014997977595544507646099249304517164880683931271168.00000000 Inf
64 1 1 3 3 3 -1144205061783273052823541550247727826159008942819708161628501152647271707839903913938039851429629129218941935251519238808779117963664173720113251066445073992669282692336231159540753256448640449497978382582767588262861243267116939526275072.00000000 18482711678744575141796080940695595699621734574314721357130224007762321714380523244948608059177984161506587510346356739297441421995573581513303641212151446892954696361198346147873780325721746669804097401938039077309272555520.00000000 Inf
65 1 1 4 0 0 -128270778149830852703761512671949083371747391119905682440384619733834975597611991462398165429096965451915575834791315886857986038625026599008370600190380674738315452652548047653639412553833497442084967455675058624778427199727134859065294848.00000000 1125475601840027215180637788860532254723553586172942630412749810429355885170011031470228689408452446531657700953949469182650552466229473614408901604499321293964856350036842099018522288704768456043954058341600916783130415726592.00000000 Inf
66 1 1 4 0 1 1297455620752079486737141909853532869417631650746821309414323790124556033286172087684205734308729130627822838690106025411982219371734855548502088634801186818943141551716163189033779312547674397362053672313642252358959240258956858631389184.00000000 -20528274572377643026768373146011704327849615422422513838025296176189429951112313217561740208852284899101689877100744057933147409403316364568971435834890202849106464111711695643197562230511281782072620747700815552051167625216.00000000 Inf
67 1 1 4 0 2 -41094068644409459217056898602715127066385792167944204678682755491217779603162406227228160110460659679982905144219504865631657594501481435260568857491361564522730081812535182696575725850109654396739153966297460383176739567270852611276800.00000000 -8871534297633549142604828010728344561987868377304457391737424104404506535229600482265958896097125102552173899082055400711447818075894945941442056395114640414785174099058445771869565599059791702745657583831372386630180536320.00000000 Inf
68 1 1 4 0 3 1297455620752079486737141909853532869417631650746821309414323790124556033286172087684205734308729130627822838690106025411982219371734855548502088634801186818943141551716163189033779312547674397362053672313642252358959240258956858631389184.00000000 -20528274572377643026768373146011704327849615422422513838025296176189429951112313217561740208852284899101689877100744057933147409403316364568971435834890202849106464111711695643197562230511281782072620747700815552051167625216.00000000 Inf
69 1 1 4 1 0 2429848245211208989271468755564130155884513899119769384093096914906609437802866442633210458159126588036532889107111651258477286270809944575074607669875888305328646876306549492909284945851283953024317333782430337919052769548784494503264256.00000000 -37696249818921089086177751844891298479770749926835013670790990185187555458363658517592013525796815516272717170369787343103062305704263353262301772399502699448317089553378356103965197216393842898568780744538988920624038019072.00000000 Inf
70 1 1 4 1 1 2424508441905540590960263352361350255760572773183123343472852111917785764485734162828821186823306453410740380479037792624231025792780672545460804304901877273451399464121893993368576835789525263434437955164930908723652274610435707847573504.00000000 -37443715035987733456300651210125296659812638262103299204338616266876014874662617382970401266104918908443837908835311663809150719511773520200649617616795824039932279997227829205361494543248273607627819110384503339935726567424.00000000 Inf
71 1 1 4 1 2 2432906362046818086314525264091999563849768195889759840657242109196326835090066346926273451660362649095512835966704530941832289553953460799029206730869428232044833227736060470627800392910032981453495607917605586437904527697928775918419968.00000000 -37538714180278526887939622834696558085535197113069811007471495233688255990636677396133519519869501469770219402696294869158898416876599507406851778755817642244313179907289351636638932531420726680259293123352065208709845876736.00000000 Inf
72 1 1 4 1 3 2424508441905540590960263352361350255760572773183123343472852111917785764485734162828821186823306453410740380479037792624231025792780672545460804304901877273451399464121893993368576835789525263434437955164930908723652274610435707847573504.00000000 -37443715035987733456300651210125296659812638262103299204338616266876014874662617382970401266104918908443837908835311663809150719511773520200649617616795824039932279997227829205361494543248273607627819110384503339935726567424.00000000 Inf
73 1 1 4 2 0 -3533941879541875371492194184130763126724017343940048983230650241550656446789780984625992715556948806873825441937904082929286247030327117175279738043778325649293489723793158550046838157329002490919777749935496790415750106610570955367383040.00000000 52460232224120930172581046470919670216736741997352087450746517169690987660178560918163730606183022650478294532819912084070459875794702565900946088481864714785952130353848106815049535644485116955506971600221275956243253428224.00000000 Inf
74 1 1 4 2 1 838841561225528451134516988450394784307127977359529931439003627230496255829268816865561450943352465762297455642729969100534452140092184433703571176349526232395297748271136149280540336536154498492568379181526422910199274372804520827682816.00000000 -12076035229340952157717335134372258804301509678059030832326219622238659452887565874999379839540517854393638876660021478241720692689236979951332431829537975121937124670653711787136905102169115239102568116137074367604130316288.00000000 Inf
75 1 1 4 2 2 -715264225682274937883434368761508681662412820981600567379464649120509266881365241004057636941482737801066232065916429447821765503979590154525729965614939716396740862636444968675827442548706557988110283150520233957306655831858279262191616.00000000 26919566217751055230375101955675530847025612685962739785617958503884420618050397899898278984355179331678388391202319016839911366562603178533328872498560611973886811128730447979117750062572274753099720634559421381575127859200.00000000 Inf
76 1 1 4 2 3 838841561225528451134516988450394784307127977359529931439003627230496255829268816865561450943352465762297455642729969100534452140092184433703571176349526232395297748271136149280540336536154498492568379181526422910199274372804520827682816.00000000 -12076035229340952157717335134372258804301509678059030832326219622238659452887565874999379839540517854393638876660021478241720692689236979951332431829537975121937124670653711787136905102169115239102568116137074367604130316288.00000000 Inf
