INDEX ORBITAL_ID_2 ORBITAL_ID_1 K_2 K_1 MEAN_R MEAN_I STD
111 1 1 6 14 0.50043097 0.00001358 0.00031434
112 1 1 6 15 0.26124120 0.00002351 0.00147018
113 1 1 7 0 0.33070954 0.00002770 0.00102866
114 1 1 7 1 0.50000000 -0.00000000 0.00000000
115 1 1 7 2 0.84965985 -0.00002008 0.00093518
116 1 1 7 3 0.94880443 -0.00000620 0.00053728
117 1 1 7 4 0.97985521 -0.00000331 0.00025355
118 1 1 7 5 0.99164696 -0.00000153 0.00011728
119 1 1 7 6 0.99640240 -0.00000058 0.00005848
120 1 1 7 7 0.99812732 -0.00000017 0.00003930
121 1 1 7 8 0.99829120 -0.00000006 0.00004739
122 1 1 7 9 0.99707525 0.00000000 0.00008852
123 1 1 7 10 0.99313792 0.00000002 0.00018552
124 1 1 7 11 0.98278391 -0.00000034 0.00038330
125 1 1 7 12 0.95659033 0.00000041 0.00074686
126 1 1 7 13 0.89121970 0.00000351 0.00129583
127 1 1 7 14 0.73910405 0.00001962 0.00146958
128 1 1 7 15 0.50034245 0.00002139 0.00027582
129 1 1 8 0 0.50000000 -0.00000000 0.00000000
130 1 1 8 1 0.66929046 -0.00002770 0.00102866
131 1 1 8 2 0.86300599 -0.00001774 0.00127287
132 1 1 8 3 0.94426212 -0.00000172 0.00077462
133 1 1 8 4 0.97696356 -0.00000020 0.00040366
134 1 1 8 5 0.99049560 -0.00000090 0.00019684
135 1 1 8 6 0.99612797 -0.00000044 0.00009392
136 1 1 8 7 0.99827773 -0.00000010 0.00004835
137 1 1 8 8 0.99880380 -0.00000000 0.00003525
138 1 1 8 9 0.99829120 0.00000006 0.00004739
139 1 1 8 10 0.99616253 0.00000030 0.00009232
140 1 1 8 11 0.99056548 0.00000018 0.00019392
141 1 1 8 12 0.97706645 0.00000049 0.00039748
142 1 1 8 13 0.94432797 0.00000391 0.00076559
143 1 1 8 14 0.86300761 0.00001298 0.00126679
144 1 1 8 15 0.66954155 0.00002773 0.00102835
145 1 1 9 0 0.33045845 -0.00002773 0.00102835
146 1 1 9 1 0.49965755 -0.00002139 0.00027582
147 1 1 9 2 0.73875880 -0.00002351 0.00147018
148 1 1 9 3 0.89119746 -0.00000960 0.00130484
149 1 1 9 4 0.95650467 0.00000024 0.00075716
150 1 1 9 5 0.98267249 0.00000020 0.00038992
151 1 1 9 6 0.99306712 -0.00000023 0.00018855
152 1 1 9 7 0.99704093 -0.00000000 0.00009019
153 1 1 9 8 0.99827773 0.00000010 0.00004835
154 1 1 9 9 0.99812732 0.00000017 0.00003930
155 1 1 9 10 0.99641625 0.00000056 0.00005762
156 1 1 9 11 0.99167980 0.00000130 0.00011596
157 1 1 9 12 0.97991662 0.00000297 0.00025110
158 1 1 9 13 0.94887088 0.00000920 0.00053292
159 1 1 9 14 0.84969467 0.00002323 0.00093176
160 1 1 9 15 0.50000000 0.00000000 0.00000000
161 1 1 10 0 0.13699239 -0.00001298 0.00126679
162 1 1 10 1 0.26089595 -0.00001962 0.00146958
163 1 1 10 2 0.49956903 -0.00001358 0.00031434
164 1 1 10 3 0.74693231 -0.00001371 0.00156828
165 1 1 10 4 0.89740610 -0.00000368 0.00132716
166 1 1 10 5 0.95984357 0.00000022 0.00075929
167 1 1 10 6 0.98400022 -0.00000000 0.00038832
168 1 1 10 7 0.99306712 0.00000023 0.00018855
169 1 1 10 8 0.99612797 0.00000044 0.00009392
170 1 1 10 9 0.99640240 0.00000058 0.00005848
171 1 1 10 10 0.99406653 0.00000128 0.00006568
172 1 1 10 11 0.98655592 0.00000354 0.00012942
173 1 1 10 12 0.96413077 0.00001105 0.00031217
174 1 1 10 13 0.88305381 0.00003044 0.00069769
175 1 1 10 14 0.50000000 0.00000000 0.00000000
176 1 1 10 15 0.15030533 -0.00002323 0.00093176
177 1 1 11 0 0.05567203 -0.00000391 0.00076559
