INDEX ORBITAL_ID_2 ORBITAL_ID_1 R_2 R_1 MEAN_R MEAN_I STD
109 1 1 6 12 -0.00000026 0.00000003 0.00000038
110 1 1 6 13 0.00019480 -0.00000306 0.00001204
111 1 1 6 14 -0.00000008 -0.00000002 0.00000019
112 1 1 6 15 0.00016187 -0.00000156 0.00000828
113 1 1 7 0 0.00011513 0.00000047 0.00000341
114 1 1 7 1 -0.00000002 -0.00000001 0.00000004
115 1 1 7 2 -0.00015857 0.00000042 0.00000307
116 1 1 7 3 -0.00000001 -0.00000002 0.00000008
117 1 1 7 4 -0.00077028 0.00000051 0.00000494
118 1 1 7 5 0.00000028 -0.00000003 0.00000020
119 1 1 7 6 -0.00262565 0.00000020 0.00001429
120 1 1 7 7 -0.00000096 0.00000000 0.00000050
121 1 1 7 8 0.00081484 -0.00000220 0.00001021
122 1 1 7 9 0.00000000 -0.00000000 0.00000000
123 1 1 7 10 -0.00016172 0.00000422 0.00001892
124 1 1 7 11 0.00000027 -0.00000015 0.00000028
125 1 1 7 12 -0.00006442 0.00000162 0.00000607
126 1 1 7 13 0.00000012 -0.00000005 0.00000013
127 1 1 7 14 0.00009858 0.00000089 0.00000370
128 1 1 7 15 0.00000003 -0.00000001 0.00000007
129 1 1 8 0 0.00000000 0.00000001 0.00000002
130 1 1 8 1 -0.00018085 0.00000010 0.00000211
131 1 1 8 2 0.00000003 0.00000003 0.00000005
132 1 1 8 3 0.00003480 0.00000022 0.00000217
133 1 1 8 4 0.00000008 0.00000006 0.00000010
134 1 1 8 5 0.00039103 0.00000048 0.00000442
135 1 1 8 6 0.00000010 0.00000010 0.00000030
136 1 1 8 7 0.00081484 0.00000220 0.00001021
137 1 1 8 8 0.00000000 0.00000000 0.00000000
138 1 1 8 9 0.00081484 -0.00000220 0.00001021
139 1 1 8 10 -0.00000010 0.00000010 0.00000030
140 1 1 8 11 0.00039103 -0.00000048 0.00000442
141 1 1 8 12 -0.00000008 0.00000006 0.00000010
142 1 1 8 13 0.00003480 -0.00000022 0.00000217
143 1 1 8 14 -0.00000003 0.00000003 0.00000005
144 1 1 8 15 -0.00018085 -0.00000010 0.00000211
145 1 1 9 0 0.00011513 -0.00000047 0.00000341
146 1 1 9 1 -0.00000003 -0.00000001 0.00000007
147 1 1 9 2 0.00009858 -0.00000089 0.00000370
148 1 1 9 3 -0.00000012 -0.00000005 0.00000013
149 1 1 9 4 -0.00006442 -0.00000162 0.00000607
150 1 1 9 5 -0.00000027 -0.00000015 0.00000028
151 1 1 9 6 -0.00016172 -0.00000422 0.00001892
152 1 1 9 7 0.00000000 0.00000000 0.00000000
153 1 1 9 8 0.00081484 0.00000220 0.00001021
154 1 1 9 9 0.00000096 0.00000000 0.00000050
155 1 1 9 10 -0.00262565 -0.00000020 0.00001429
156 1 1 9 11 -0.00000028 -0.00000003 0.00000020
157 1 1 9 12 -0.00077028 -0.00000051 0.00000494
158 1 1 9 13 0.00000001 -0.00000002 0.00000008
159 1 1 9 14 -0.00015857 -0.00000042 0.00000307
160 1 1 9 15 0.00000002 -0.00000001 0.00000004
161 1 1 10 0 -0.00000004 -0.00000001 0.00000010
162 1 1 10 1 0.00016187 0.00000156 0.00000828
163 1 1 10 2 0.00000008 -0.00000002 0.00000019
164 1 1 10 3 0.00019480 0.00000306 0.00001204
165 1 1 10 4 0.00000026 0.00000003 0.00000038
166 1 1 10 5 0.00035420 0.00000878 0.00003541
167 1 1 10 6 -0.00000000 0.00000000 0.00000000
168 1 1 10 7 -0.00016172 -0.00000422 0.00001892
169 1 1 10 8 -0.00000010 -0.00000010 0.00000030
170 1 1 10 9 -0.00262565 0.00000020 0.00001429
171 1 1 10 10 -0.00000145 0.00000000 0.00000118
172 1 1 10 11 0.00498172 0.00000100 0.00002444
173 1 1 10 12 0.00000049 0.00000003 0.00000029
174 1 1 10 13 0.00143942 0.00000098 0.00000869
175 1 1 10 14 -0.00000001 0.00000001 0.00000011
176 1 1 10 15 0.00049625 0.00000103 0.00000703
177 1 1 11 0 -0.00126282 -0.00000207 0.00001634
178 1 1 11 1 0.00000012 0.00000005 0.00000026
179 1 1 11 2 -0.00092799 -0.00000453 0.00002351
180 1 1 11 3 -0.00000004 0.00000020 0.00000051
181 1 1 11 4 -0.00136498 -0.00001564 0.00006277
182 1 1 11 5 -0.00000000 -0.00000000 0.00000000
183 1 1 11 6 0.00035420 0.00000878 0.00003541
184 1 1 11 7 0.00000027 0.00000015 0.00000028
185 1 1 11 8 0.00039103 0.00000048 0.00000442
186 1 1 11 9 -0.00000028 0.00000003 0.00000020
187 1 1 11 10 0.00498172 -0.00000100 0.00002444
188 1 1 11 11 0.00000214 -0.00000000 0.00000188
189 1 1 11 12 -0.00851999 -0.00000139 0.00003650
190 1 1 11 13 -0.00000060 -0.00000005 0.00000038
191 1 1 11 14 -0.00266645 -0.00000148 0.00001547
192 1 1 11 15 0.00000009 -0.00000001 0.00000019
193 1 1 12 0 -0.00000040 -0.00000001 0.00000041
194 1 1 12 1 0.00329244 0.00000487 0.00004149
195 1 1 12 2 -0.00000058 -0.00000030 0.00000067
196 1 1 12 3 0.00442508 0.00002138 0.00010803
197 1 1 12 4 0.00000000 0.00000000 0.00000000
198 1 1 12 5 -0.00136498 -0.00001564 0.00006277
199 1 1 12 6 -0.00000026 -0.00000003 0.00000038
200 1 1 12 7 -0.00006442 -0.00000162 0.00000607
201 1 1 12 8 -0.00000008 -0.00000006 0.00000010
202 1 1 12 9 -0.00077028 0.00000051 0.00000494
203 1 1 12 10 0.00000049 -0.00000003 0.00000029
204 1 1 12 11 -0.00851999 0.00000139 0.00003650
205 1 1 12 12 -0.00000289 -0.00000000 0.00000276
206 1 1 12 13 0.01448748 0.00000183 0.00005010
207 1 1 12 14 0.00000055 0.00000010 0.00000045
208 1 1 12 15 0.00510656 0.00000238 0.00002853
209 1 1 13 0 -0.01107470 -0.00000488 0.00006064
210 1 1 13 1 0.00000124 0.00000023 0.00000091
211 1 1 13 2 -0.01336626 -0.00002122 0.00017427
212 1 1 13 3 -0.00000000 0.00000000 0.00000000
213 1 1 13 4 0.00442508 0.00002138 0.00010803
214 1 1 13 5 0.00000004 -0.00000020 0.00000051
215 1 1 13 6 0.00019480 0.00000306 0.00001204
216 1 1 13 7 0.00000012 0.00000005 0.00000013
217 1 1 13 8 0.00003480 0.00000022 0.00000217
218 1 1 13 9 0.00000001 0.00000002 0.00000008
219 1 1 13 10 0.00143942 -0.00000098 0.00000869
220 1 1 13 11 -0.00000060 0.00000005 0.00000038
221 1 1 13 12 0.01448748 -0.00000183 0.00005010
222 1 1 13 13 0.00000360 0.00000000 0.00000388
223 1 1 13 14 -0.02594003 -0.00000295 0.00006419
224 1 1 13 15 -0.00000000 -0.00000012 0.00000069
225 1 1 14 0 -0.00000127 -0.00000009 0.00000156
226 1 1 14 1 0.04163005 0.00002252 0.00022881
227 1 1 14 2 0.00000000 -0.00000000 0.00000000
228 1 1 14 3 -0.01336626 -0.00002122 0.00017427
229 1 1 14 4 0.00000058 0.00000030 0.00000067
230 1 1 14 5 -0.00092799 -0.00000453 0.00002351
231 1 1 14 6 -0.00000008 0.00000002 0.00000019
232 1 1 14 7 0.00009858 -0.00000089 0.00000370
233 1 1 14 8 -0.00000003 -0.00000003 0.00000005
234 1 1 14 9 -0.00015857 0.00000042 0.00000307
235 1 1 14 10 -0.00000001 -0.00000001 0.00000011
236 1 1 14 11 -0.00266645 0.00000148 0.00001547
237 1 1 14 12 0.00000055 -0.00000010 0.00000045
238 1 1 14 13 -0.02594003 0.00000295 0.00006419
239 1 1 14 14 -0.00000425 -0.00000000 0.00000524
240 1 1 14 15 0.05339306 0.00000753 0.00007998
241 1 1 15 0 -0.18703354 -0.00004031 0.00015519
242 1 1 15 1 -0.00000000 -0.00000000 0.00000000
243 1 1 15 2 0.04163005 0.00002252 0.00022881
244 1 1 15 3 -0.00000124 -0.00000023 0.00000091
245 1 1 15 4 0.00329244 0.00000487 0.00004149
246 1 1 15 5 -0.00000012 -0.00000005 0.00000026
247 1 1 15 6 0.00016187 0.00000156 0.00000828
248 1 1 15 7 0.00000003 0.00000001 0.00000007
249 1 1 15 8 -0.00018085 0.00000010 0.00000211
250 1 1 15 9 0.00000002 0.00000001 0.00000004
251 1 1 15 10 0.00049625 -0.00000103 0.00000703
252 1 1 15 11 0.00000009 0.00000001 0.00000019
253 1 1 15 12 0.00510656 -0.00000238 0.00002853
254 1 1 15 13 -0.00000000 0.00000012 0.00000069
255 1 1 15 14 0.05339306 -0.00000753 0.00007998
256 1 1 15 15 0.00000438 -0.00000000 0.00000642
