INDEX ORBITAL_ID_2 ORBITAL_ID_1 TAU K_2 K_1 MEAN_R MEAN_I STD
102 1 1 6 1 1 0.04466191 0.07297043 0.19277382
103 1 1 6 1 2 -0.02901635 -0.00568371 0.15160572
104 1 1 6 1 3 -0.00950034 0.06632215 0.15135969
105 1 1 6 2 0 -0.24492797 -0.02394425 0.15280953
106 1 1 6 2 1 -0.09551137 0.17278197 0.11421392
107 1 1 6 2 2 -0.09426287 0.05447576 0.08697558
108 1 1 6 2 3 0.10560773 -0.18002144 0.17560253
109 1 1 6 3 0 0.00236547 0.16021415 0.23307070
110 1 1 6 3 1 0.16832572 -0.03702222 0.21861672
111 1 1 6 3 2 -0.04038089 -0.06676648 0.10617574
112 1 1 6 3 3 -0.02561538 0.05362992 0.10621975
113 1 1 7 0 0 1.11825352 -0.09199508 0.43809861
114 1 1 7 0 1 -0.04680620 -0.38160272 0.39337168
115 1 1 7 0 2 -0.37301275 0.01656264 0.27202844
116 1 1 7 0 3 0.13531875 0.23655521 0.23968515
117 1 1 7 1 0 -0.02775754 0.24302104 0.17345487
118 1 1 7 1 1 0.10414296 0.16849901 0.20507583
119 1 1 7 1 2 0.06656371 -0.05822050 0.14623883
120 1 1 7 1 3 -0.09409302 -0.10130435 0.15003158
121 1 1 7 2 0 -0.27767016 -0.08488219 0.25848740
122 1 1 7 2 1 -0.23967029 0.26011982 0.25897798
123 1 1 7 2 2 0.02760299 0.18710617 0.23547962
124 1 1 7 2 3 0.23235290 -0.32300550 0.28077796
125 1 1 7 3 0 0.08252467 0.20058215 0.33285526
126 1 1 7 3 1 0.19817705 0.09414036 0.28995711
127 1 1 7 3 2 -0.01641508 -0.11812361 0.15958664
128 1 1 7 3 3 -0.04415418 0.00912404 0.21843473
129 1 1 8 0 0 0.66202308 -0.03114930 0.23279910
130 1 1 8 0 1 0.03710853 -0.20861927 0.21864083
131 1 1 8 0 2 -0.22734230 0.07966708 0.16874879
132 1 1 8 0 3 0.02617971 0.02934375 0.09414063
133 1 1 8 1 0 0.08689149 0.08846180 0.11890649
134 1 1 8 1 1 0.00955811 0.09005358 0.09907648
135 1 1 8 1 2 0.00936119 0.02435880 0.07410794
136 1 1 8 1 3 -0.06986945 -0.06952642 0.08972639
137 1 1 8 2 0 -0.03452470 0.01378333 0.10897550
138 1 1 8 2 1 -0.05718620 0.09309478 0.11428150
139 1 1 8 2 2 -0.01769348 0.14340992 0.12356210
140 1 1 8 2 3 0.01094198 -0.19280709 0.11655914
141 1 1 8 3 0 0.11868623 0.10675634 0.18963180
142 1 1 8 3 1 0.14719584 -0.01924201 0.14223000
143 1 1 8 3 2 -0.00711518 0.00641123 0.08201550
144 1 1 8 3 3 -0.10603617 -0.05556264 0.13509028
145 1 1 9 0 0 0.64353714 -0.14762194 0.34187730
146 1 1 9 0 1 0.11259011 -0.26867983 0.32486160
147 1 1 9 0 2 -0.32122180 0.18049762 0.29376261
148 1 1 9 0 3 0.01615922 0.02457279 0.17879277
149 1 1 9 1 0 0.06244121 -0.06118903 0.12577809
150 1 1 9 1 1 -0.09199085 0.26435235 0.30704403
151 1 1 9 1 2 -0.06758865 0.09553259 0.13081630
152 1 1 9 1 3 -0.01547104 -0.08285581 0.14315230
153 1 1 9 2 0 -0.09655870 -0.06606726 0.16559826
154 1 1 9 2 1 0.00630436 0.14504154 0.16044628
155 1 1 9 2 2 -0.06331870 0.21495441 0.16044762
156 1 1 9 2 3 -0.05060502 -0.18756726 0.17058706
157 1 1 9 3 0 0.07127088 0.14347163 0.29183886
158 1 1 9 3 1 0.36818070 0.07610766 0.27516945
159 1 1 9 3 2 0.06823488 0.00642753 0.21005827
160 1 1 9 3 3 -0.28990737 -0.09392753 0.23204691
161 1 1 10 0 0 0.47182592 -0.17032375 0.33002998
162 1 1 10 0 1 -0.06970946 -0.27453338 0.32493131
163 1 1 10 0 2 -0.08674123 0.05493407 0.10660701
164 1 1 10 0 3 -0.00291918 0.06715247 0.10909507
165 1 1 10 1 0 -0.06101793 -0.01877673 0.09081492
166 1 1 10 1 1 -0.07961718 0.23338827 0.23637612
167 1 1 10 1 2 -0.06235792 -0.03512096 0.13236868
168 1 1 10 1 3 -0.04605291 0.07148591 0.09064273
169 1 1 10 2 0 -0.08493014 -0.00926565 0.07402229
170 1 1 10 2 1 0.07979455 0.01515017 0.08438273
171 1 1 10 2 2 -0.08564877 0.19120578 0.14331162
172 1 1 10 2 3 0.07469138 -0.01827901 0.15296928
173 1 1 10 3 0 0.02439927 0.20119836 0.26772169
174 1 1 10 3 1 0.22773975 -0.08543316 0.19943580
175 1 1 10 3 2 0.09157022 0.00282659 0.12638930
176 1 1 10 3 3 -0.18820583 -0.15672375 0.18093745
177 1 1 11 0 0 0.21042870 0.00764301 0.10611221
178 1 1 11 0 1 0.05237948 -0.22671518 0.21110518
179 1 1 11 0 2 -0.12310277 0.03681877 0.11700366
180 1 1 11 0 3 0.04753240 0.07507791 0.09679212
181 1 1 11 1 0 -0.03482751 0.01359336 0.04914396
182 1 1 11 1 1 -0.03303060 0.16358545 0.16621150
183 1 1 11 1 2 -0.07218108 -0.10082805 0.15734651
184 1 1 11 1 3 0.04554522 -0.03692091 0.05558104
185 1 1 11 2 0 -0.09966707 -0.00920868 0.07621903
186 1 1 11 2 1 0.14344852 -0.05292985 0.13946904
187 1 1 11 2 2 -0.09551131 0.18968161 0.16436761
188 1 1 11 2 3 0.01101853 -0.08228170 0.06673308
189 1 1 11 3 0 -0.06125594 0.08257357 0.09494768
190 1 1 11 3 1 0.05243098 -0.05506877 0.05787759
191 1 1 11 3 2 0.01896474 0.03528394 0.04244754
192 1 1 11 3 3 0.00809890 -0.03474475 0.03489593
193 1 1 12 0 0 0.20129637 -0.10287632 0.16484561
194 1 1 12 0 1 -0.03589793 -0.25652300 0.25178333
195 1 1 12 0 2 -0.00996020 0.19633295 0.20647344
196 1 1 12 0 3 -0.05320426 0.14368549 0.15240957
197 1 1 12 1 0 0.00481279 0.12477615 0.14131478
198 1 1 12 1 1 -0.04851990 0.18553227 0.19237966
199 1 1 12 1 2 0.01494389 -0.31084676 0.31022347
200 1 1 12 1 3 -0.00706955 -0.01595743 0.03126570
201 1 1 12 2 0 -0.16474193 -0.16778760 0.22523840
202 1 1 12 2 1 0.15385593 -0.03674767 0.14672560
203 1 1 12 2 2 -0.03990913 0.16962769 0.16283451
204 1 1 12 2 3 0.03020284 0.03100118 0.04626683
205 1 1 12 3 0 -0.05550418 0.23006761 0.20847137
206 1 1 12 3 1 -0.00867354 -0.00018890 0.02718287
207 1 1 12 3 2 -0.00790283 -0.02279542 0.05615283
208 1 1 12 3 3 0.12933353 -0.15679385 0.19028601
209 1 1 13 0 0 0.06010466 -0.04813547 0.03512730
210 1 1 13 0 1 0.05220446 -0.20168576 0.20646396
211 1 1 13 0 2 0.02266507 0.13906649 0.15150601
212 1 1 13 0 3 -0.07003097 0.08757832 0.10193007
213 1 1 13 1 0 -0.01212287 -0.00108081 0.03646700
214 1 1 13 1 1 -0.06674429 0.12353387 0.13149148
215 1 1 13 1 2 0.02546102 -0.19021800 0.18487080
216 1 1 13 1 3 0.04407802 0.05413463 0.06206255
217 1 1 13 2 0 -0.04851388 0.05397485 0.04860045
218 1 1 13 2 1 0.07254267 -0.00065709 0.05360609
219 1 1 13 2 2 -0.10039724 0.06411238 0.10692557
220 1 1 13 2 3 0.06545050 -0.05202021 0.06613291
221 1 1 13 3 0 0.02732787 0.03556595 0.02518242
222 1 1 13 3 1 0.03343940 0.03195435 0.07084099
223 1 1 13 3 2 0.00291872 -0.03344124 0.07272955
224 1 1 13 3 3 0.05399085 -0.08575593 0.08930125
225 1 1 14 0 0 0.08355889 -0.02329732 0.03497299
226 1 1 14 0 1 -0.01136318 -0.11910441 0.09922578
227 1 1 14 0 2 0.00786250 0.02833469 0.05864476
228 1 1 14 0 3 0.01594494 0.03701486 0.02723111
229 1 1 14 1 0 0.04082349 -0.03439478 0.04744075
230 1 1 14 1 1 -0.03485539 0.03052658 0.05229118
231 1 1 14 1 2 -0.02034931 -0.07023590 0.07308334
232 1 1 14 1 3 0.01145677 0.03405396 0.04850738
233 1 1 14 2 0 -0.11165775 0.03642619 0.08818749
234 1 1 14 2 1 0.04170037 0.08201664 0.06973434
235 1 1 14 2 2 0.01845258 -0.02610078 0.04642450
236 1 1 14 2 3 0.00053091 -0.08987832 0.09041480
237 1 1 14 3 0 0.03914901 -0.00515567 0.06115215
238 1 1 14 3 1 0.02422923 -0.04993576 0.05370090
239 1 1 14 3 2 -0.03863588 -0.03059766 0.06487613
240 1 1 14 3 3 -0.00164743 -0.00959435 0.03623065
241 1 1 15 0 0 0.08485986 0.03314166 0.07354930
242 1 1 15 0 1 -0.02821004 -0.21648089 0.17982697
243 1 1 15 0 2 -0.05552986 0.09006825 0.13135167
244 1 1 15 0 3 0.05295761 0.04229994 0.06795794
245 1 1 15 1 0 0.13322028 0.02473500 0.16729785
246 1 1 15 1 1 -0.05722985 -0.00128331 0.07018796
247 1 1 15 1 2 0.02302093 -0.03051700 0.05588000
248 1 1 15 1 3 -0.07862484 -0.01341370 0.14315714
249 1 1 15 2 0 -0.11953026 0.00113313 0.06197810
250 1 1 15 2 1 0.02436335 0.13592810 0.10075842
251 1 1 15 2 2 0.08926309 -0.04385292 0.10183270
252 1 1 15 2 3 -0.06382695 -0.02391680 0.09805612
253 1 1 15 3 0 0.00224332 -0.01302372 0.08047166
254 1 1 15 3 1 0.04075928 -0.02692990 0.05573148
255 1 1 15 3 2 -0.05880670 -0.02191449 0.07315772
256 1 1 15 3 3 0.05183108 0.00160696 0.11166899
257 1 1 16 0 0 0.10864655 -0.00406355 0.06525484
258 1 1 16 0 1 -0.04781498 -0.12811308 0.14392261
259 1 1 16 0 2 0.02467295 -0.02929755 0.06193501
260 1 1 16 0 3 -0.03671658 0.09071392 0.07038953
261 1 1 16 1 0 0.10398003 -0.04753920 0.13381168
262 1 1 16 1 1 -0.03465522 -0.00348270 0.09836846
263 1 1 16 1 2 0.02631143 -0.05080663 0.06785345
264 1 1 16 1 3 -0.09288656 0.02585143 0.14382713
265 1 1 16 2 0 -0.00912615 0.00366837 0.09427583
266 1 1 16 2 1 0.07256840 0.03089744 0.06492136
267 1 1 16 2 2 -0.04941768 -0.02889788 0.07205940
268 1 1 16 2 3 -0.00174492 -0.00790407 0.08980205
269 1 1 16 3 0 0.10508273 0.05887218 0.10371334
270 1 1 16 3 1 -0.03075452 -0.10376607 0.06252402
271 1 1 16 3 2 0.02213636 0.01583855 0.06791973
272 1 1 16 3 3 -0.03087095 -0.06276682 0.05379658
273 1 1 17 0 0 0.07415855 0.10219530 0.11603297
274 1 1 17 0 1 0.02420368 -0.16139194 0.15289501
275 1 1 17 0 2 -0.08843275 0.01247439 0.12110753
276 1 1 17 0 3 0.01329112 0.02025399 0.03514421
277 1 1 17 1 0 0.07097480 0.04978744 0.10952407
278 1 1 17 1 1 -0.05790137 -0.03383929 0.08430532
279 1 1 17 1 2 0.09018733 -0.04710434 0.08770624
280 1 1 17 1 3 -0.11213274 0.00265589 0.12986107
281 1 1 17 2 0 -0.03203559 -0.03370046 0.05248939
282 1 1 17 2 1 0.02044015 0.09220943 0.10016403
283 1 1 17 2 2 0.04119914 -0.05972925 0.08094543
284 1 1 17 2 3 -0.05555411 0.04612980 0.10946084
285 1 1 17 3 0 -0.01299380 -0.05642402 0.09182597
286 1 1 17 3 1 0.03849481 -0.04505486 0.06002369
287 1 1 17 3 2 -0.05203574 -0.00941920 0.08197190
288 1 1 17 3 3 0.11098082 0.01345472 0.11943967
289 1 1 18 0 0 0.12819186 0.02318052 0.11377184
290 1 1 18 0 1 0.04375705 -0.11116364 0.11080523
291 1 1 18 0 2 -0.13584023 -0.07468229 0.17215773
292 1 1 18 0 3 -0.01463623 0.12204782 0.10172795
293 1 1 18 1 0 -0.01395744 0.11115430 0.10913090
294 1 1 18 1 1 0.07133787 -0.03835623 0.09123877
295 1 1 18 1 2 0.04895172 -0.06174065 0.06192566
296 1 1 18 1 3 -0.14404025 -0.02708057 0.16116984
297 1 1 18 2 0 -0.10399488 -0.06561279 0.10763115
298 1 1 18 2 1 0.00708395 0.20299949 0.21673745
299 1 1 18 2 2 0.09149734 -0.00845963 0.08522789
300 1 1 18 2 3 0.00527670 -0.05133102 0.05887924
301 1 1 18 3 0 -0.02064808 -0.07394119 0.09446282
302 1 1 18 3 1 -0.13581385 -0.04675250 0.12497995
303 1 1 18 3 2 -0.02994683 0.10559708 0.11204736
304 1 1 18 3 3 0.17193085 0.00106972 0.17147313
305 1 1 19 0 0 0.29631116 0.03180122 0.28197255
306 1 1 19 0 1 0.08069800 -0.33247655 0.33522364
307 1 1 19 0 2 -0.32252099 -0.12339318 0.35232641
308 1 1 19 0 3 -0.08129130 0.38542706 0.37994025
309 1 1 19 1 0 -0.03884544 0.22126245 0.22293424
310 1 1 19 1 1 0.31416087 0.06333521 0.32873487
311 1 1 19 1 2 0.05260523 -0.27232136 0.26580016
312 1 1 19 1 3 -0.35656969 -0.03096553 0.36004222
313 1 1 19 2 0 -0.19438007 -0.01211961 0.19262502
314 1 1 19 2 1 0.01646188 0.33296564 0.34387562
315 1 1 19 2 2 0.20142320 0.03258415 0.19515105
316 1 1 19 2 3 0.01359774 -0.24668554 0.25510404
317 1 1 19 3 0 0.02449034 -0.25104954 0.26594449
318 1 1 19 3 1 -0.30067872 -0.03160260 0.29370347
319 1 1 19 3 2 -0.03154801 0.20394479 0.20177782
320 1 1 19 3 3 0.34143027 0.04921550 0.34950332
321 1 1 20 0 0 0.06218027 -0.07117923 0.08911531
322 1 1 20 0 1 -0.00192590 -0.08086761 0.07908886
323 1 1 20 0 2 -0.05329040 -0.02979721 0.08053864
324 1 1 20 0 3 0.01310083 0.15953787 0.14202522
325 1 1 20 1 0 -0.00396926 0.08362646 0.08404551
326 1 1 20 1 1 0.08100536 0.02382402 0.11012154
327 1 1 20 1 2 -0.00011548 -0.12632536 0.12212364
328 1 1 20 1 3 -0.14030480 -0.04685958 0.14495944
329 1 1 20 2 0 -0.08062882 0.01185628 0.08848800
330 1 1 20 2 1 0.01447666 0.09000843 0.09452356
331 1 1 20 2 2 0.10292336 0.10841288 0.14083108
332 1 1 20 2 3 0.06767178 -0.06730839 0.08465390
333 1 1 20 3 0 0.01437993 -0.04669053 0.06988355
334 1 1 20 3 1 -0.10859432 -0.01820190 0.09065211
335 1 1 20 3 2 -0.03511126 0.01247091 0.04518872
336 1 1 20 3 3 0.09420728 0.00862522 0.10730654
337 1 1 21 0 0 0.02430719 -0.05612644 0.07429629
338 1 1 21 0 1 -0.03242819 -0.10916193 0.09992110
339 1 1 21 0 2 -0.04337217 -0.04910136 0.07729665
340 1 1 21 0 3 0.01112733 0.15690330 0.13719281
341 1 1 21 1 0 -0.05426909 0.01483995 0.04680868
342 1 1 21 1 1 0.04724705 0.02225959 0.07918500
343 1 1 21 1 2 0.03479437 -0.02063078 0.04121888
344 1 1 21 1 3 -0.07749730 -0.04443410 0.11145668
345 1 1 21 2 0 0.03769869 0.04269218 0.06184453
346 1 1 21 2 1 0.04985101 0.05077605 0.08714685
347 1 1 21 2 2 0.01551844 0.07351279 0.08667597
348 1 1 21 2 3 0.04245925 0.02235310 0.02855541
349 1 1 21 3 0 -0.02990705 0.02666615 0.02812159
350 1 1 21 3 1 -0.10625701 -0.01286014 0.09060948
351 1 1 21 3 2 0.04432168 -0.03815134 0.04662199
352 1 1 21 3 3 0.09403485 -0.03031190 0.09967756
353 1 1 22 0 0 0.06336759 -0.05717137 0.06781179
354 1 1 22 0 1 0.04765024 -0.01151811 0.04186395
355 1 1 22 0 2 -0.06365204 -0.04349534 0.11058487
356 1 1 22 0 3 0.03150323 0.09989883 0.08657602
357 1 1 22 1 0 0.01334346 0.04919669 0.05746233
358 1 1 22 1 1 -0.01370219 -0.05877777 0.06448075
359 1 1 22 1 2 0.03508204 0.02419409 0.06961017
360 1 1 22 1 3 -0.10356566 -0.03149826 0.11238415
361 1 1 22 2 0 -0.00804955 -0.00278247 0.02593726
362 1 1 22 2 1 0.16502323 0.09100014 0.17319824
363 1 1 22 2 2 0.01572455 -0.01345045 0.03100872
364 1 1 22 2 3 0.01273153 0.13259083 0.12348049
365 1 1 22 3 0 0.01977410 0.04092413 0.05412998
366 1 1 22 3 1 -0.09106043 -0.06344239 0.07521009
367 1 1 22 3 2 0.01756129 -0.02046459 0.04133333
368 1 1 22 3 3 -0.00130049 -0.05200619 0.05457945
369 1 1 23 0 0 0.11035919 -0.20169034 0.20228399
370 1 1 23 0 1 0.08378953 0.10013620 0.13848377
371 1 1 23 0 2 -0.10817228 -0.15487865 0.24888353
372 1 1 23 0 3 0.09721218 0.28230921 0.27130725
373 1 1 23 1 0 0.04251337 0.17188821 0.21361064
374 1 1 23 1 1 -0.15389550 -0.16999706 0.19986216
375 1 1 23 1 2 0.05938540 0.07208268 0.16270884
376 1 1 23 1 3 -0.12446758 -0.16260295 0.22874523
377 1 1 23 2 0 -0.13519752 -0.11832283 0.20240176
378 1 1 23 2 1 0.30274391 0.22067758 0.32243133
379 1 1 23 2 2 0.01720393 -0.10358987 0.13510640
380 1 1 23 2 3 0.11266910 0.15713818 0.14648746
381 1 1 23 3 0 0.06300996 0.06691077 0.12083166
382 1 1 23 3 1 -0.23609453 -0.20277844 0.23794366
383 1 1 23 3 2 0.00445394 0.18531464 0.19033210
384 1 1 23 3 3 -0.06331520 -0.12562747 0.13474232
385 1 1 24 0 0 0.12687634 -0.08503550 0.11257865
386 1 1 24 0 1 0.05490096 0.09780325 0.11048355
387 1 1 24 0 2 0.01286107 -0.05783746 0.07234780
388 1 1 24 0 3 0.09297625 0.14070019 0.14811533
389 1 1 24 1 0 -0.05358530 0.05979261 0.08777309
390 1 1 24 1 1 -0.11271404 -0.06092714 0.11494730
391 1 1 24 1 2 -0.03987377 -0.03747613 0.04082894
392 1 1 24 1 3 -0.04155749 -0.09075568 0.10672173
393 1 1 24 2 0 -0.00606299 -0.03716534 0.03702830
394 1 1 24 2 1 0.25797971 0.10644701 0.24228354
395 1 1 24 2 2 0.01256706 0.03452860 0.03530641
396 1 1 24 2 3 0.10012926 0.05710699 0.09616545
397 1 1 24 3 0 -0.00705404 -0.00682815 0.02987502
398 1 1 24 3 1 -0.16103858 -0.12738690 0.19071036
399 1 1 24 3 2 0.01836760 0.10446361 0.10821837
400 1 1 24 3 3 -0.08065313 -0.08221591 0.10535071
401 1 1 25 0 0 0.19440271 -0.08271667 0.15948640
402 1 1 25 0 1 0.02978781 0.02857495 0.04662142
403 1 1 25 0 2 -0.03782023 -0.04069782 0.07813096
404 1 1 25 0 3 0.01852853 0.14175779 0.11943611
405 1 1 25 1 0 -0.03048522 0.08157983 0.10961436
406 1 1 25 1 1 0.02212262 -0.07189645 0.05980434
407 1 1 25 1 2 -0.04755265 -0.00890668 0.05060911
408 1 1 25 1 3 -0.01210500 -0.06591514 0.06880641
409 1 1 25 2 0 -0.01001026 -0.06184226 0.05433317
410 1 1 25 2 1 0.13138420 0.11854265 0.16944997
411 1 1 25 2 2 0.07859031 -0.00055175 0.08354968
412 1 1 25 2 3 0.02173598 0.04992370 0.05104975
413 1 1 25 3 0 0.02112600 -0.07182327 0.08408426
414 1 1 25 3 1 -0.13348602 -0.06415028 0.15317275
415 1 1 25 3 2 -0.01892050 0.16156889 0.15807198
416 1 1 25 3 3 0.11774419 -0.06653475 0.13774878
417 1 1 26 0 0 0.27935513 -0.09791634 0.23532332
418 1 1 26 0 1 -0.11070054 0.07560826 0.16026176
419 1 1 26 0 2 0.09709386 0.00279653 0.07826957
420 1 1 26 0 3 -0.12745337 0.08132109 0.15713959
421 1 1 26 1 0 -0.07718464 0.11663093 0.16050429
422 1 1 26 1 1 0.12280030 -0.07793594 0.14423838
423 1 1 26 1 2 -0.13082631 -0.00678256 0.13197009
424 1 1 26 1 3 0.07101698 -0.11075074 0.13592756
425 1 1 26 2 0 0.12288082 -0.09199189 0.15145360
426 1 1 26 2 1 0.00339371 0.10523956 0.11437576
427 1 1 26 2 2 0.07735515 -0.05278092 0.11075911
428 1 1 26 2 3 -0.10887518 0.09116817 0.14321463
429 1 1 26 3 0 -0.10055318 0.00543176 0.09187473
430 1 1 26 3 1 0.01618553 -0.06698891 0.08085807
431 1 1 26 3 2 -0.14178276 0.12782712 0.19028469
432 1 1 26 3 3 0.21578715 -0.07799472 0.23086314
433 1 1 27 0 0 0.23157822 -0.03430708 0.15999049
