INDEX ORBITAL_ID_2 ORBITAL_ID_1 TAU K_2 K_1 MEAN_R MEAN_I STD
104 1 1 0 6 7 0.00359760 -0.00000058 0.00005848
105 1 1 0 6 8 0.00387203 -0.00000044 0.00009392
106 1 1 0 6 9 0.00693288 -0.00000023 0.00018855
107 1 1 0 6 10 0.01599978 0.00000000 0.00038832
108 1 1 0 6 11 0.04015643 -0.00000022 0.00075929
109 1 1 0 6 12 0.10259390 0.00000368 0.00132716
110 1 1 0 6 13 0.25306769 0.00001371 0.00156828
111 1 1 0 6 14 0.50043097 0.00001358 0.00031434
112 1 1 0 6 15 0.73910405 0.00001962 0.00146958
113 1 1 0 7 0 0.66954155 0.00002773 0.00102835
114 1 1 0 7 1 0.50000000 -0.00000000 0.00000000
115 1 1 0 7 2 0.15030533 -0.00002323 0.00093176
116 1 1 0 7 3 0.05112912 -0.00000920 0.00053292
117 1 1 0 7 4 0.02008338 -0.00000297 0.00025110
118 1 1 0 7 5 0.00832020 -0.00000130 0.00011596
119 1 1 0 7 6 0.00358375 -0.00000056 0.00005762
120 1 1 0 7 7 0.00187268 -0.00000017 0.00003930
121 1 1 0 7 8 0.00172227 -0.00000010 0.00004835
122 1 1 0 7 9 0.00295907 0.00000000 0.00009019
123 1 1 0 7 10 0.00693288 0.00000023 0.00018855
124 1 1 0 7 11 0.01732751 -0.00000020 0.00038992
125 1 1 0 7 12 0.04349533 -0.00000024 0.00075716
126 1 1 0 7 13 0.10880254 0.00000960 0.00130484
127 1 1 0 7 14 0.26124120 0.00002351 0.00147018
128 1 1 0 7 15 0.50034245 0.00002139 0.00027582
129 1 1 0 8 0 0.50000000 0.00000000 0.00000000
130 1 1 0 8 1 0.33045845 -0.00002773 0.00102835
131 1 1 0 8 2 0.13699239 -0.00001298 0.00126679
132 1 1 0 8 3 0.05567203 -0.00000391 0.00076559
133 1 1 0 8 4 0.02293355 -0.00000049 0.00039748
134 1 1 0 8 5 0.00943452 -0.00000018 0.00019392
135 1 1 0 8 6 0.00383747 -0.00000030 0.00009232
136 1 1 0 8 7 0.00170880 -0.00000006 0.00004739
137 1 1 0 8 8 0.00119620 0.00000000 0.00003525
138 1 1 0 8 9 0.00172227 0.00000010 0.00004835
139 1 1 0 8 10 0.00387203 0.00000044 0.00009392
140 1 1 0 8 11 0.00950440 0.00000090 0.00019684
141 1 1 0 8 12 0.02303644 0.00000020 0.00040366
142 1 1 0 8 13 0.05573788 0.00000172 0.00077462
143 1 1 0 8 14 0.13699401 0.00001774 0.00127287
144 1 1 0 8 15 0.33070954 0.00002770 0.00102866
145 1 1 0 9 0 0.66929046 -0.00002770 0.00102866
146 1 1 0 9 1 0.49965755 -0.00002139 0.00027582
147 1 1 0 9 2 0.26089595 -0.00001962 0.00146958
148 1 1 0 9 3 0.10878030 -0.00000351 0.00129583
149 1 1 0 9 4 0.04340967 -0.00000041 0.00074686
150 1 1 0 9 5 0.01721609 0.00000034 0.00038330
151 1 1 0 9 6 0.00686208 -0.00000002 0.00018552
152 1 1 0 9 7 0.00292475 -0.00000000 0.00008852
153 1 1 0 9 8 0.00170880 0.00000006 0.00004739
154 1 1 0 9 9 0.00187268 0.00000017 0.00003930
155 1 1 0 9 10 0.00359760 0.00000058 0.00005848
156 1 1 0 9 11 0.00835304 0.00000153 0.00011728
157 1 1 0 9 12 0.02014479 0.00000331 0.00025355
158 1 1 0 9 13 0.05119557 0.00000620 0.00053728
159 1 1 0 9 14 0.15034015 0.00002008 0.00093518
160 1 1 0 9 15 0.50000000 0.00000000 0.00000000
161 1 1 0 10 0 0.86300599 -0.00001774 0.00127287
162 1 1 0 10 1 0.73875880 -0.00002351 0.00147018
163 1 1 0 10 2 0.49956903 -0.00001358 0.00031434
164 1 1 0 10 3 0.25267489 -0.00000964 0.00156801
165 1 1 0 10 4 0.10256290 -0.00000020 0.00131753
166 1 1 0 10 5 0.04006551 0.00000011 0.00074867
167 1 1 0 10 6 0.01588626 -0.00000000 0.00038161
168 1 1 0 10 7 0.00686208 0.00000002 0.00018552
169 1 1 0 10 8 0.00383747 0.00000030 0.00009232
170 1 1 0 10 9 0.00358375 0.00000056 0.00005762
171 1 1 0 10 10 0.00593347 0.00000128 0.00006568
172 1 1 0 10 11 0.01345475 0.00000346 0.00012988
173 1 1 0 10 12 0.03589352 0.00001025 0.00031298
174 1 1 0 10 13 0.11697223 0.00002889 0.00069863
175 1 1 0 10 14 0.50000000 0.00000000 0.00000000
176 1 1 0 10 15 0.84965985 -0.00002008 0.00093518
177 1 1 0 11 0 0.94426212 -0.00000172 0.00077462
178 1 1 0 11 1 0.89119746 -0.00000960 0.00130484
179 1 1 0 11 2 0.74693231 -0.00001371 0.00156828
180 1 1 0 11 3 0.49954268 -0.00000606 0.00032486
181 1 1 0 11 4 0.25066140 -0.00000260 0.00159640
182 1 1 0 11 5 0.10113416 -0.00000000 0.00132422
183 1 1 0 11 6 0.04006551 -0.00000011 0.00074867
184 1 1 0 11 7 0.01721609 -0.00000034 0.00038330
185 1 1 0 11 8 0.00943452 0.00000018 0.00019392
186 1 1 0 11 9 0.00832020 0.00000130 0.00011596
187 1 1 0 11 10 0.01344408 0.00000354 0.00012942
188 1 1 0 11 11 0.03316666 0.00001112 0.00027420
189 1 1 0 11 12 0.10995167 0.00003480 0.00064673
190 1 1 0 11 13 0.50000000 0.00000000 0.00000000
191 1 1 0 11 14 0.88302777 -0.00002889 0.00069863
192 1 1 0 11 15 0.94880443 -0.00000620 0.00053728
193 1 1 0 12 0 0.97696356 -0.00000020 0.00040366
194 1 1 0 12 1 0.95650467 0.00000024 0.00075716
195 1 1 0 12 2 0.89740610 -0.00000368 0.00132716
196 1 1 0 12 3 0.74892807 -0.00000416 0.00159635
197 1 1 0 12 4 0.49953631 0.00000000 0.00032756
198 1 1 0 12 5 0.25066140 0.00000260 0.00159640
199 1 1 0 12 6 0.10256290 0.00000020 0.00131753
200 1 1 0 12 7 0.04340967 0.00000041 0.00074686
201 1 1 0 12 8 0.02293355 0.00000049 0.00039748
202 1 1 0 12 9 0.02008338 0.00000297 0.00025110
203 1 1 0 12 10 0.03586923 0.00001105 0.00031217
204 1 1 0 12 11 0.10994592 0.00003548 0.00064654
205 1 1 0 12 12 0.50000000 0.00000000 0.00000000
206 1 1 0 12 13 0.89004833 -0.00003480 0.00064673
207 1 1 0 12 14 0.96410648 -0.00001025 0.00031298
208 1 1 0 12 15 0.97985521 -0.00000331 0.00025355
209 1 1 0 13 0 0.99049560 -0.00000090 0.00019684
210 1 1 0 13 1 0.98267249 0.00000020 0.00038992
211 1 1 0 13 2 0.95984357 0.00000022 0.00075929
212 1 1 0 13 3 0.89883356 -0.00000000 0.00133397
213 1 1 0 13 4 0.74892807 0.00000416 0.00159635
214 1 1 0 13 5 0.49954268 0.00000606 0.00032486
215 1 1 0 13 6 0.25267489 0.00000964 0.00156801
216 1 1 0 13 7 0.10878030 0.00000351 0.00129583
217 1 1 0 13 8 0.05567203 0.00000391 0.00076559
218 1 1 0 13 9 0.05112912 0.00000920 0.00053292
219 1 1 0 13 10 0.11694619 0.00003044 0.00069769
220 1 1 0 13 11 0.50000000 0.00000000 0.00000000
221 1 1 0 13 12 0.89005408 -0.00003548 0.00064654
222 1 1 0 13 13 0.96683334 -0.00001112 0.00027420
223 1 1 0 13 14 0.98654525 -0.00000346 0.00012988
224 1 1 0 13 15 0.99164696 -0.00000153 0.00011728
225 1 1 0 14 0 0.99612797 -0.00000044 0.00009392
226 1 1 0 14 1 0.99306712 -0.00000023 0.00018855
227 1 1 0 14 2 0.98400022 -0.00000000 0.00038832
228 1 1 0 14 3 0.95984357 -0.00000022 0.00075929
229 1 1 0 14 4 0.89740610 0.00000368 0.00132716
230 1 1 0 14 5 0.74693231 0.00001371 0.00156828
231 1 1 0 14 6 0.49956903 0.00001358 0.00031434
232 1 1 0 14 7 0.26089595 0.00001962 0.00146958
