INDEX ORBITAL_ID_2 ORBITAL_ID_1 K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 0.01912770 0.00000000 0.00055966
2 1 1 0 1 0.02734557 -0.00000007 0.00075709
3 1 1 0 2 0.06142801 -0.00000017 0.00147891
4 1 1 0 3 0.15100110 -0.00000039 0.00310527
5 1 1 0 4 0.36700323 -0.00000087 0.00636152
6 1 1 0 5 0.89083540 -0.00000173 0.01224887
7 1 1 0 6 2.19201090 -0.00000173 0.02026249
8 1 1 0 7 5.28739478 -0.00000050 0.01643926
9 1 1 0 8 8.00000000 -0.00000000 0.00000000
10 1 1 0 9 5.29105139 0.00000059 0.01644975
11 1 1 0 10 2.19175934 0.00000127 0.02035767
12 1 1 0 11 0.89170759 0.00000128 0.01238543
13 1 1 0 12 0.36852564 0.00000077 0.00645207
14 1 1 0 13 0.15203102 0.00000036 0.00314492
15 1 1 0 14 0.06192888 0.00000018 0.00149827
16 1 1 0 15 0.02753766 0.00000007 0.00076827
17 1 1 1 0 0.02753766 -0.00000007 0.00076827
18 1 1 1 1 0.02995064 -0.00000014 0.00062487
19 1 1 1 2 0.05734043 -0.00000023 0.00092043
20 1 1 1 3 0.13313323 -0.00000042 0.00185465
21 1 1 1 4 0.32133887 -0.00000083 0.00401542
22 1 1 1 5 0.81805595 -0.00000140 0.00852184
23 1 1 1 6 2.40487998 -0.00000116 0.01489979
24 1 1 1 7 8.00000000 -0.00000000 0.00000000
25 1 1 1 8 10.71260522 0.00000050 0.01643926
26 1 1 1 9 8.00513439 -0.00000036 0.00438175
27 1 1 1 10 4.17906055 0.00000065 0.02351797
28 1 1 1 11 1.74062864 0.00000128 0.02087001
29 1 1 1 12 0.69584531 0.00000086 0.01210461
30 1 1 1 13 0.27718389 0.00000036 0.00623146
31 1 1 1 14 0.11088936 0.00000011 0.00301219
32 1 1 1 15 0.04732323 0.00000000 0.00143841
33 1 1 2 0 0.06192888 -0.00000018 0.00149827
34 1 1 2 1 0.05754187 -0.00000024 0.00093103
35 1 1 2 2 0.09492214 -0.00000034 0.00104670
36 1 1 2 3 0.21509465 -0.00000056 0.00206617
37 1 1 2 4 0.57388819 -0.00000092 0.00498808
38 1 1 2 5 1.87114648 -0.00000087 0.01115401
39 1 1 2 6 8.00000000 -0.00000000 0.00000000
40 1 1 2 7 13.59512002 0.00000116 0.01489979
41 1 1 2 8 13.80798910 0.00000173 0.02026249
42 1 1 2 9 11.82548964 0.00000059 0.02348764
43 1 1 2 10 8.00626968 -0.00000090 0.00500022
44 1 1 2 11 4.04786085 -0.00000012 0.02508054
45 1 1 2 12 1.64126483 0.00000075 0.02122538
46 1 1 2 13 0.64244232 0.00000031 0.01213767
47 1 1 2 14 0.25594291 0.00000000 0.00620566
48 1 1 2 15 0.11088936 -0.00000011 0.00301219
49 1 1 3 0 0.15203102 -0.00000036 0.00314492
50 1 1 3 1 0.13362449 -0.00000041 0.00187240
51 1 1 3 2 0.21525894 -0.00000056 0.00207293
52 1 1 3 3 0.53064559 -0.00000076 0.00437983
53 1 1 3 4 1.75914622 -0.00000064 0.01033465
54 1 1 3 5 8.00000000 -0.00000000 0.00000000
