MEASUREMENT MEAN_R MEAN_I STD
Nsqrd 65544.75696867 0.00000000 0.00233836
action_bosonic 35.75295789 0.00000000 0.03898703
action_fermionic -6410.55335351 0.00000000 0.05007449
action_total -6374.80039561 0.00000000 0.06631547
chemical_potential 0.00000000 0.00000000 0.00000000
compressibility 0.54731054 0.00000000 0.00014615
density 1.00000000 0.00000000 0.00000000
density_dn 0.50000000 0.00000000 0.00000000
density_up 0.50000000 0.00000000 0.00000000
double_occ 0.24996785 0.00000000 0.00000029
logdetGdn -3205.27667675 0.00000000 0.02503724
logdetGup -3205.27667675 0.00000000 0.02503724
sgn 1.00000000 -0.00000000 0.00000000
sgndetGdn 1.00000000 -0.00000000 0.00000000
sgndetGup 1.00000000 -0.00000000 0.00000000
