INDEX ORBITAL_ID_2 ORBITAL_ID_1 K_2 K_1 MEAN_R MEAN_I STD
111 1 1 6 14 2.33539137 0.00005803 0.01588813
112 1 1 6 15 2.54619589 0.00011874 0.00937925
113 1 1 7 0 4.26767747 0.00029038 0.01405834
114 1 1 7 1 5.01312985 -0.00004383 0.01366071
115 1 1 7 2 3.25614240 -0.00034314 0.00409800
116 1 1 7 3 1.67935446 -0.00015670 0.00728154
117 1 1 7 4 0.95779954 -0.00005109 0.00562276
118 1 1 7 5 0.61739241 -0.00003081 0.00373478
119 1 1 7 6 0.45452058 -0.00002779 0.00255169
120 1 1 7 7 0.38338141 -0.00002036 0.00203055
121 1 1 7 8 0.37183391 -0.00001070 0.00207005
122 1 1 7 9 0.41278173 -0.00000000 0.00256396
123 1 1 7 10 0.51838284 0.00001071 0.00344099
124 1 1 7 11 0.72034292 0.00003654 0.00445038
125 1 1 7 12 1.07864975 0.00011787 0.00490881
126 1 1 7 13 1.68044405 0.00011872 0.00374866
127 1 1 7 14 2.54573843 0.00014828 0.00938153
128 1 1 7 15 3.43855933 0.00019481 0.01702404
129 1 1 8 0 5.14529114 0.00000063 0.02093454
130 1 1 8 1 4.26762729 -0.00035044 0.01406033
131 1 1 8 2 2.63527132 -0.00026015 0.00392684
132 1 1 8 3 1.52732961 -0.00019616 0.00605021
133 1 1 8 4 0.93154332 -0.00005284 0.00537048
134 1 1 8 5 0.61606971 -0.00001741 0.00394402
135 1 1 8 6 0.45146173 -0.00001303 0.00277176
136 1 1 8 7 0.37162048 -0.00000839 0.00206333
137 1 1 8 8 0.34789939 -0.00000000 0.00182704
138 1 1 8 9 0.37183391 0.00001070 0.00207005
139 1 1 8 10 0.45184117 0.00002279 0.00278490
140 1 1 8 11 0.61644924 0.00004054 0.00396534
141 1 1 8 12 0.93158450 0.00009630 0.00540123
142 1 1 8 13 1.52671672 0.00023447 0.00607942
143 1 1 8 14 2.63448929 0.00024431 0.00391493
144 1 1 8 15 4.26721127 0.00033758 0.01406342
145 1 1 9 0 4.26764777 -0.00029654 0.01407576
146 1 1 9 1 3.43886735 -0.00020927 0.01704078
147 1 1 9 2 2.54605501 -0.00016474 0.00937593
148 1 1 9 3 1.68104533 -0.00013226 0.00376598
149 1 1 9 4 1.07910040 -0.00009890 0.00487939
150 1 1 9 5 0.72024329 -0.00001960 0.00442221
151 1 1 9 6 0.51799576 -0.00000510 0.00342082
152 1 1 9 7 0.41239672 0.00000000 0.00255089
153 1 1 9 8 0.37162048 0.00000839 0.00206333
154 1 1 9 9 0.38338141 0.00002036 0.00203055
155 1 1 9 10 0.45473736 0.00003526 0.00255896
156 1 1 9 11 0.61777284 0.00005438 0.00374851
157 1 1 9 12 0.95811946 0.00009441 0.00564590
158 1 1 9 13 1.67927146 0.00020327 0.00731267
159 1 1 9 14 3.25562283 0.00032934 0.00410691
160 1 1 9 15 5.01221303 0.00005508 0.01365206
161 1 1 10 0 2.63449458 -0.00020611 0.00392375
162 1 1 10 1 2.54626103 -0.00012301 0.00940443
163 1 1 10 2 2.33552955 -0.00005850 0.01591090
164 1 1 10 3 1.91826070 -0.00007197 0.00880885
165 1 1 10 4 1.37045239 -0.00005245 0.00361764
166 1 1 10 5 0.93930808 -0.00002979 0.00444388
167 1 1 10 6 0.66937477 0.00000000 0.00419139
168 1 1 10 7 0.51799576 0.00000510 0.00342082
169 1 1 10 8 0.45146173 0.00001303 0.00277176
170 1 1 10 9 0.45452058 0.00002779 0.00255169
171 1 1 10 10 0.53876975 0.00004656 0.00300597
172 1 1 10 11 0.75323522 0.00007356 0.00422781
173 1 1 10 12 1.24721512 0.00013906 0.00597958
174 1 1 10 13 2.41531325 0.00022084 0.00447599
175 1 1 10 14 4.23062997 0.00003355 0.00623872
176 1 1 10 15 3.25558853 -0.00031004 0.00409881
177 1 1 11 0 1.52616639 -0.00023434 0.00604686
178 1 1 11 1 1.68016834 -0.00006607 0.00374414
179 1 1 11 2 1.91836492 -0.00003979 0.00884124
180 1 1 11 3 1.92738828 -0.00001581 0.01479726
181 1 1 11 4 1.70155054 -0.00001976 0.00837695
182 1 1 11 5 1.29018018 0.00000000 0.00355952
183 1 1 11 6 0.93930808 0.00002979 0.00444388
184 1 1 11 7 0.72024329 0.00001960 0.00442221
185 1 1 11 8 0.61606971 0.00001741 0.00394402
186 1 1 11 9 0.61739241 0.00003081 0.00373478
187 1 1 11 10 0.75302218 0.00005968 0.00422138
188 1 1 11 11 1.12595469 0.00012870 0.00501534
189 1 1 11 12 2.06398519 0.00021431 0.00318311
190 1 1 11 13 3.61143888 0.00002718 0.00758024
191 1 1 11 14 2.41510415 -0.00027023 0.00446788
192 1 1 11 15 1.67882153 -0.00026722 0.00729524
193 1 1 12 0 0.93093941 -0.00013802 0.00537699
194 1 1 12 1 1.07791531 -0.00011161 0.00487200
195 1 1 12 2 1.36956395 -0.00000508 0.00358768
196 1 1 12 3 1.70159443 -0.00000899 0.00841041
197 1 1 12 4 1.82068760 0.00000000 0.01436070
198 1 1 12 5 1.70155054 0.00001976 0.00837695
199 1 1 12 6 1.37045239 0.00005245 0.00361764
200 1 1 12 7 1.07910040 0.00009890 0.00487939
201 1 1 12 8 0.93154332 0.00005284 0.00537048
202 1 1 12 9 0.95779954 0.00005109 0.00562276
203 1 1 12 10 1.24691155 0.00011607 0.00596558
204 1 1 12 11 2.06385243 0.00022196 0.00317889
205 1 1 12 12 3.42807646 0.00003942 0.00820158
206 1 1 12 13 2.06370618 -0.00024998 0.00317071
207 1 1 12 14 1.24658388 -0.00021357 0.00595449
208 1 1 12 15 0.95746414 -0.00015903 0.00561743
209 1 1 13 0 0.61576831 -0.00007351 0.00393426
210 1 1 13 1 0.71964004 -0.00005610 0.00442640
211 1 1 13 2 0.93811716 -0.00003068 0.00443464
212 1 1 13 3 1.28929212 -0.00000000 0.00352688
213 1 1 13 4 1.70159443 0.00000899 0.00841041
214 1 1 13 5 1.92738828 0.00001581 0.01479726
215 1 1 13 6 1.91826070 0.00007197 0.00880885
216 1 1 13 7 1.68104533 0.00013226 0.00376598
217 1 1 13 8 1.52732961 0.00019616 0.00605021
218 1 1 13 9 1.67935446 0.00015670 0.00728154
219 1 1 13 10 2.41491234 0.00021723 0.00445621
220 1 1 13 11 3.61118799 0.00002689 0.00758978
221 1 1 13 12 2.06360765 -0.00025730 0.00316701
222 1 1 13 13 1.12536411 -0.00018847 0.00499226
223 1 1 13 14 0.75260402 -0.00013113 0.00419794
224 1 1 13 15 0.61710878 -0.00009847 0.00371534
225 1 1 14 0 0.45122684 -0.00004018 0.00275357
226 1 1 14 1 0.51769628 -0.00002175 0.00341006
227 1 1 14 2 0.66876574 -0.00000000 0.00419487
228 1 1 14 3 0.93811716 0.00003068 0.00443464
229 1 1 14 4 1.36956395 0.00000508 0.00358768
230 1 1 14 5 1.91836492 0.00003979 0.00884124
231 1 1 14 6 2.33552955 0.00005850 0.01591090
232 1 1 14 7 2.54605501 0.00016474 0.00937593
233 1 1 14 8 2.63527132 0.00026015 0.00392684
234 1 1 14 9 3.25614240 0.00034314 0.00409800
235 1 1 14 10 4.23025757 0.00001751 0.00627532
236 1 1 14 11 2.41468098 -0.00028549 0.00444977
237 1 1 14 12 1.24629586 -0.00019107 0.00594740
