INDEX ORBITAL_ID_2 ORBITAL_ID_1 R_2 R_1 MEAN_R MEAN_I STD
110 1 1 6 13 1.67249034 -0.00013879 0.00014485
111 1 1 6 14 1.67138038 -0.00018191 0.00017512
112 1 1 6 15 1.53253593 -0.00022990 0.00024356
113 1 1 7 0 1.48087422 0.00019553 0.00017524
114 1 1 7 1 1.62487071 0.00015407 0.00011027
115 1 1 7 2 1.63942111 0.00011227 0.00008765
116 1 1 7 3 1.63095501 0.00007774 0.00007943
117 1 1 7 4 1.62204686 0.00005169 0.00008171
118 1 1 7 5 1.61390203 0.00003171 0.00005300
119 1 1 7 6 1.58105098 0.00001694 0.00008094
120 1 1 7 7 1.65039337 -0.00000000 0.00022543
121 1 1 7 8 1.65870137 -0.00002328 0.00025174
122 1 1 7 9 1.59023258 -0.00002426 0.00010561
123 1 1 7 10 1.62230695 -0.00004612 0.00008800
124 1 1 7 11 1.63592197 -0.00006796 0.00012467
125 1 1 7 12 1.65370827 -0.00009660 0.00013474
126 1 1 7 13 1.67421342 -0.00013393 0.00015327
127 1 1 7 14 1.67194419 -0.00018123 0.00018335
128 1 1 7 15 1.53314194 -0.00023131 0.00025162
129 1 1 8 0 1.47952893 0.00023549 0.00019672
130 1 1 8 1 1.62445864 0.00018533 0.00012481
131 1 1 8 2 1.63981530 0.00013732 0.00009716
132 1 1 8 3 1.63222402 0.00009857 0.00008549
133 1 1 8 4 1.62380063 0.00006988 0.00008305
134 1 1 8 5 1.61531246 0.00004732 0.00006084
135 1 1 8 6 1.57500990 0.00002525 0.00008181
136 1 1 8 7 1.65870137 0.00002328 0.00025174
137 1 1 8 8 1.66464239 -0.00000000 0.00026841
138 1 1 8 9 1.58671670 -0.00001939 0.00011141
139 1 1 8 10 1.62375667 -0.00003415 0.00009279
140 1 1 8 11 1.63784751 -0.00005650 0.00012617
141 1 1 8 12 1.65535929 -0.00008686 0.00013761
142 1 1 8 13 1.67514088 -0.00012960 0.00015622
143 1 1 8 14 1.67209037 -0.00018107 0.00018664
144 1 1 8 15 1.53271310 -0.00023381 0.00025711
145 1 1 9 0 1.47765251 0.00027437 0.00021815
146 1 1 9 1 1.62373898 0.00021598 0.00013633
147 1 1 9 2 1.63921020 0.00016113 0.00010245
148 1 1 9 3 1.62955402 0.00011872 0.00008465
149 1 1 9 4 1.61544173 0.00008613 0.00007108
150 1 1 9 5 1.57887576 0.00005445 0.00012613
151 1 1 9 6 1.69923888 0.00006363 0.00021570
152 1 1 9 7 1.59023258 0.00002426 0.00010561
153 1 1 9 8 1.58671670 0.00001939 0.00011141
154 1 1 9 9 1.70422093 -0.00000000 0.00021615
155 1 1 9 10 1.59688721 -0.00002422 0.00016338
156 1 1 9 11 1.63223981 -0.00004476 0.00012005
157 1 1 9 12 1.65383473 -0.00007696 0.00013774
158 1 1 9 13 1.67507371 -0.00012220 0.00015450
159 1 1 9 14 1.67170897 -0.00017987 0.00018513
160 1 1 9 15 1.53134635 -0.00023415 0.00025948
161 1 1 10 0 1.47551837 0.00031026 0.00024010
162 1 1 10 1 1.62179373 0.00024463 0.00015068
163 1 1 10 2 1.63481671 0.00018361 0.00011275
164 1 1 10 3 1.61986881 0.00013534 0.00010049
165 1 1 10 4 1.58249614 0.00009031 0.00014149
166 1 1 10 5 1.71319875 0.00011240 0.00022227
167 1 1 10 6 1.59686602 0.00005063 0.00016006
168 1 1 10 7 1.62230695 0.00004612 0.00008800
169 1 1 10 8 1.62375667 0.00003415 0.00009279
170 1 1 10 9 1.59688721 0.00002422 0.00016338
171 1 1 10 10 1.72394308 0.00000000 0.00023301
172 1 1 10 11 1.60916939 -0.00003306 0.00018381
173 1 1 10 12 1.64801097 -0.00006498 0.00014718
174 1 1 10 13 1.67221127 -0.00011256 0.00015554
175 1 1 10 14 1.67018988 -0.00017335 0.00018254
176 1 1 10 15 1.52944196 -0.00022907 0.00025903
177 1 1 11 0 1.47329041 0.00034093 0.00026189
178 1 1 11 1 1.61723068 0.00027131 0.00016396
179 1 1 11 2 1.62619895 0.00020179 0.00013039
180 1 1 11 3 1.59614189 0.00013761 0.00014309
181 1 1 11 4 1.74503351 0.00017107 0.00021601
182 1 1 11 5 1.60630142 0.00008079 0.00016558
183 1 1 11 6 1.62760836 0.00007861 0.00010832
184 1 1 11 7 1.63592197 0.00006796 0.00012467
185 1 1 11 8 1.63784751 0.00005650 0.00012617
186 1 1 11 9 1.63223981 0.00004476 0.00012005
187 1 1 11 10 1.60916939 0.00003306 0.00018381
188 1 1 11 11 1.76158863 -0.00000000 0.00022654
189 1 1 11 12 1.63278297 -0.00004781 0.00018072
190 1 1 11 13 1.66734644 -0.00009766 0.00015925
191 1 1 11 14 1.66674242 -0.00016020 0.00017557
192 1 1 11 15 1.52728129 -0.00021499 0.00025469
193 1 1 12 0 1.47093353 0.00036691 0.00028040
194 1 1 12 1 1.61277708 0.00029322 0.00017868
195 1 1 12 2 1.61609778 0.00020516 0.00014412
196 1 1 12 3 1.79891156 0.00024700 0.00020841
197 1 1 12 4 1.62896355 0.00011788 0.00015681
198 1 1 12 5 1.64260268 0.00011396 0.00013020
199 1 1 12 6 1.64949558 0.00010521 0.00012818
200 1 1 12 7 1.65370827 0.00009660 0.00013474
201 1 1 12 8 1.65535929 0.00008686 0.00013761
202 1 1 12 9 1.65383473 0.00007696 0.00013774
203 1 1 12 10 1.64801097 0.00006498 0.00014718
204 1 1 12 11 1.63278297 0.00004781 0.00018072
205 1 1 12 12 1.82084948 -0.00000000 0.00020251
206 1 1 12 13 1.66205022 -0.00006964 0.00016426
207 1 1 12 14 1.66417773 -0.00013670 0.00016624
208 1 1 12 15 1.52485052 -0.00019144 0.00024137
209 1 1 13 0 1.47114844 0.00039045 0.00029158
210 1 1 13 1 1.61917631 0.00030199 0.00018079
211 1 1 13 2 1.87091003 0.00035055 0.00022669
212 1 1 13 3 1.65932119 0.00016894 0.00014757
213 1 1 13 4 1.66417019 0.00015660 0.00014248
214 1 1 13 5 1.66882554 0.00014589 0.00014228
215 1 1 13 6 1.67249034 0.00013879 0.00014485
216 1 1 13 7 1.67421342 0.00013393 0.00015327
217 1 1 13 8 1.67514088 0.00012960 0.00015622
218 1 1 13 9 1.67507371 0.00012220 0.00015450
219 1 1 13 10 1.67221127 0.00011256 0.00015554
220 1 1 13 11 1.66734644 0.00009766 0.00015925
221 1 1 13 12 1.66205022 0.00006964 0.00016426
222 1 1 13 13 1.89689004 -0.00000000 0.00017316
223 1 1 13 14 1.66983551 -0.00009177 0.00014821
224 1 1 13 15 1.52425887 -0.00015702 0.00021014
225 1 1 14 0 1.48563724 0.00041225 0.00029855
226 1 1 14 1 1.93005214 0.00049120 0.00030095
227 1 1 14 2 1.66859612 0.00024560 0.00016278
228 1 1 14 3 1.66452093 0.00021545 0.00016046
229 1 1 14 4 1.66685188 0.00019617 0.00016259
230 1 1 14 5 1.66990530 0.00018582 0.00016835
231 1 1 14 6 1.67138038 0.00018191 0.00017512
232 1 1 14 7 1.67194419 0.00018123 0.00018335
233 1 1 14 8 1.67209037 0.00018107 0.00018664
234 1 1 14 9 1.67170897 0.00017987 0.00018513
235 1 1 14 10 1.67018988 0.00017335 0.00018254
236 1 1 14 11 1.66674242 0.00016020 0.00017557
237 1 1 14 12 1.66417773 0.00013670 0.00016624
238 1 1 14 13 1.66983551 0.00009177 0.00014821
239 1 1 14 14 1.95870355 -0.00000000 0.00014872
240 1 1 14 15 1.53364454 -0.00010362 0.00016739
241 1 1 15 0 1.81870558 0.00064270 0.00049831
242 1 1 15 1 1.52908681 0.00033770 0.00021931
243 1 1 15 2 1.52410889 0.00028693 0.00020699
244 1 1 15 3 1.52640027 0.00025635 0.00021773
245 1 1 15 4 1.52919707 0.00023960 0.00022659
246 1 1 15 5 1.53116664 0.00023190 0.00023478
247 1 1 15 6 1.53253593 0.00022990 0.00024356
248 1 1 15 7 1.53314194 0.00023131 0.00025162
249 1 1 15 8 1.53271310 0.00023381 0.00025711
250 1 1 15 9 1.53134635 0.00023415 0.00025948
251 1 1 15 10 1.52944196 0.00022907 0.00025903
252 1 1 15 11 1.52728129 0.00021499 0.00025469
253 1 1 15 12 1.52485052 0.00019144 0.00024137
254 1 1 15 13 1.52425887 0.00015702 0.00021014
255 1 1 15 14 1.53364454 0.00010362 0.00016739
256 1 1 15 15 1.85489241 0.00000000 0.00021447
