INDEX ORBITAL_ID_2 ORBITAL_ID_1 TAU K_2 K_1 MEAN_R MEAN_I STD
103 1 1 0 6 6 0.00000000 -0.00000000 0.00000000
104 1 1 0 6 7 0.00006422 -0.00004158 0.00014761
105 1 1 0 6 8 0.00005853 -0.00002126 0.00010502
106 1 1 0 6 9 0.00005026 -0.00000646 0.00008323
107 1 1 0 6 10 0.00004201 -0.00000000 0.00006382
108 1 1 0 6 11 0.00003594 -0.00000011 0.00006065
109 1 1 0 6 12 0.00003703 0.00000021 0.00005990
110 1 1 0 6 13 0.00004225 -0.00000577 0.00007088
111 1 1 0 6 14 0.00006605 -0.00002188 0.00010935
112 1 1 0 6 15 0.00014550 -0.00006839 0.00024792
113 1 1 0 7 0 0.00009939 0.00049760 0.00084848
114 1 1 0 7 1 -0.00015615 0.00002333 0.00024642
115 1 1 0 7 2 -0.00006600 0.00001790 0.00011156
116 1 1 0 7 3 -0.00004034 0.00002396 0.00008019
117 1 1 0 7 4 -0.00003781 0.00003009 0.00008213
118 1 1 0 7 5 -0.00004717 0.00003840 0.00010140
119 1 1 0 7 6 -0.00006422 0.00004158 0.00014761
120 1 1 0 7 7 0.00000000 -0.00000000 0.00000000
121 1 1 0 7 8 0.00008037 -0.00001490 0.00015149
122 1 1 0 7 9 0.00006214 -0.00000000 0.00010307
123 1 1 0 7 10 0.00005026 0.00000646 0.00008323
124 1 1 0 7 11 0.00004167 0.00000936 0.00007069
125 1 1 0 7 12 0.00003886 0.00000781 0.00006631
126 1 1 0 7 13 0.00004398 0.00000353 0.00007389
127 1 1 0 7 14 0.00006791 -0.00000859 0.00011040
128 1 1 0 7 15 0.00015361 -0.00003771 0.00024670
129 1 1 0 8 0 -0.00000000 0.00050376 0.00084530
130 1 1 0 8 1 -0.00015692 -0.00000616 0.00024606
131 1 1 0 8 2 -0.00006781 0.00000382 0.00011095
132 1 1 0 8 3 -0.00004329 0.00001396 0.00007680
133 1 1 0 8 4 -0.00003908 0.00001797 0.00007295
134 1 1 0 8 5 -0.00004606 0.00002172 0.00008338
135 1 1 0 8 6 -0.00005853 0.00002126 0.00010502
136 1 1 0 8 7 -0.00008037 0.00001490 0.00015149
137 1 1 0 8 8 0.00000000 -0.00000000 0.00000000
138 1 1 0 8 9 0.00008037 0.00001490 0.00015149
139 1 1 0 8 10 0.00005853 0.00002126 0.00010502
140 1 1 0 8 11 0.00004606 0.00002172 0.00008338
141 1 1 0 8 12 0.00003908 0.00001797 0.00007295
142 1 1 0 8 13 0.00004329 0.00001396 0.00007680
143 1 1 0 8 14 0.00006781 0.00000382 0.00011095
144 1 1 0 8 15 0.00015692 -0.00000616 0.00024606
145 1 1 0 9 0 -0.00009939 0.00049760 0.00084848
