INDEX PHOTON_ID_2 PHOTON_ID_1 R_2 R_1 MEAN_R MEAN_I STD
158 1 1 9 13 NaN NaN NaN
159 1 1 9 14 NaN NaN NaN
160 1 1 9 15 NaN NaN NaN
161 1 1 10 0 NaN NaN NaN
162 1 1 10 1 NaN NaN NaN
163 1 1 10 2 NaN NaN NaN
164 1 1 10 3 NaN NaN NaN
165 1 1 10 4 NaN NaN NaN
166 1 1 10 5 NaN NaN NaN
167 1 1 10 6 NaN NaN NaN
168 1 1 10 7 NaN NaN NaN
169 1 1 10 8 NaN NaN NaN
170 1 1 10 9 NaN NaN NaN
171 1 1 10 10 NaN NaN NaN
172 1 1 10 11 NaN NaN NaN
173 1 1 10 12 NaN NaN NaN
174 1 1 10 13 NaN NaN NaN
175 1 1 10 14 NaN NaN NaN
176 1 1 10 15 NaN NaN NaN
177 1 1 11 0 NaN NaN NaN
178 1 1 11 1 NaN NaN NaN
179 1 1 11 2 NaN NaN NaN
180 1 1 11 3 NaN NaN NaN
181 1 1 11 4 NaN NaN NaN
182 1 1 11 5 NaN NaN NaN
183 1 1 11 6 NaN NaN NaN
184 1 1 11 7 NaN NaN NaN
185 1 1 11 8 NaN NaN NaN
186 1 1 11 9 NaN NaN NaN
187 1 1 11 10 NaN NaN NaN
188 1 1 11 11 NaN NaN NaN
189 1 1 11 12 NaN NaN NaN
190 1 1 11 13 NaN NaN NaN
191 1 1 11 14 NaN NaN NaN
192 1 1 11 15 NaN NaN NaN
193 1 1 12 0 NaN NaN NaN
194 1 1 12 1 NaN NaN NaN
195 1 1 12 2 NaN NaN NaN
196 1 1 12 3 NaN NaN NaN
197 1 1 12 4 NaN NaN NaN
198 1 1 12 5 NaN NaN NaN
199 1 1 12 6 NaN NaN NaN
200 1 1 12 7 NaN NaN NaN
201 1 1 12 8 NaN NaN NaN
202 1 1 12 9 NaN NaN NaN
203 1 1 12 10 NaN NaN NaN
204 1 1 12 11 NaN NaN NaN
205 1 1 12 12 NaN NaN NaN
206 1 1 12 13 NaN NaN NaN
207 1 1 12 14 NaN NaN NaN
208 1 1 12 15 NaN NaN NaN
209 1 1 13 0 NaN NaN NaN
210 1 1 13 1 NaN NaN NaN
211 1 1 13 2 NaN NaN NaN
212 1 1 13 3 NaN NaN NaN
213 1 1 13 4 NaN NaN NaN
214 1 1 13 5 NaN NaN NaN
215 1 1 13 6 NaN NaN NaN
216 1 1 13 7 NaN NaN NaN
217 1 1 13 8 NaN NaN NaN
218 1 1 13 9 NaN NaN NaN
219 1 1 13 10 NaN NaN NaN
220 1 1 13 11 NaN NaN NaN
221 1 1 13 12 NaN NaN NaN
222 1 1 13 13 NaN NaN NaN
223 1 1 13 14 NaN NaN NaN
224 1 1 13 15 NaN NaN NaN
225 1 1 14 0 NaN NaN NaN
226 1 1 14 1 NaN NaN NaN
227 1 1 14 2 NaN NaN NaN
228 1 1 14 3 NaN NaN NaN
229 1 1 14 4 NaN NaN NaN
230 1 1 14 5 NaN NaN NaN
231 1 1 14 6 NaN NaN NaN
232 1 1 14 7 NaN NaN NaN
233 1 1 14 8 NaN NaN NaN
234 1 1 14 9 NaN NaN NaN
235 1 1 14 10 NaN NaN NaN
236 1 1 14 11 NaN NaN NaN
237 1 1 14 12 NaN NaN NaN
238 1 1 14 13 NaN NaN NaN
239 1 1 14 14 NaN NaN NaN
240 1 1 14 15 NaN NaN NaN
241 1 1 15 0 NaN NaN NaN
242 1 1 15 1 NaN NaN NaN
243 1 1 15 2 NaN NaN NaN
244 1 1 15 3 NaN NaN NaN
245 1 1 15 4 NaN NaN NaN
246 1 1 15 5 NaN NaN NaN
247 1 1 15 6 NaN NaN NaN
248 1 1 15 7 NaN NaN NaN
249 1 1 15 8 NaN NaN NaN
250 1 1 15 9 NaN NaN NaN
251 1 1 15 10 NaN NaN NaN
252 1 1 15 11 NaN NaN NaN
253 1 1 15 12 NaN NaN NaN
254 1 1 15 13 NaN NaN NaN
255 1 1 15 14 NaN NaN NaN
256 1 1 15 15 NaN NaN NaN
