INDEX ORBITAL_ID_2 ORBITAL_ID_1 TAU R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 0 0.50000000 0.00000000 0.00000000
2 1 1 0 0 1 0.50000000 -0.00000209 0.00000323
3 1 1 0 0 2 0.50000000 -0.00000510 0.00000763
4 1 1 0 0 3 0.50000000 -0.00000788 0.00001198
5 1 1 0 0 4 0.50000000 -0.00001043 0.00001633
6 1 1 0 0 5 0.50000000 -0.00001274 0.00002069
7 1 1 0 0 6 0.50000000 -0.00001493 0.00002507
8 1 1 0 0 7 0.50000000 -0.00001701 0.00002947
9 1 1 0 0 8 0.50000000 -0.00001903 0.00003387
10 1 1 0 0 9 0.50000000 -0.00002105 0.00003823
11 1 1 0 0 10 0.50000000 -0.00002310 0.00004255
12 1 1 0 0 11 0.50000000 -0.00002517 0.00004675
13 1 1 0 0 12 0.50000000 -0.00002726 0.00005072
14 1 1 0 0 13 0.50000000 -0.00002917 0.00005406
15 1 1 0 0 14 0.50000000 -0.00002812 0.00005358
16 1 1 0 0 15 0.50000000 -0.00005526 0.00009814
17 1 1 0 1 0 0.50000000 0.00000209 0.00000323
18 1 1 0 1 1 0.50000000 -0.00000000 0.00000000
19 1 1 0 1 2 0.50000000 -0.00000106 0.00000171
20 1 1 0 1 3 0.50000000 -0.00000180 0.00000350
21 1 1 0 1 4 0.50000000 -0.00000223 0.00000536
22 1 1 0 1 5 0.50000000 -0.00000256 0.00000724
23 1 1 0 1 6 0.50000000 -0.00000278 0.00000914
24 1 1 0 1 7 0.50000000 -0.00000297 0.00001105
25 1 1 0 1 8 0.50000000 -0.00000316 0.00001297
26 1 1 0 1 9 0.50000000 -0.00000328 0.00001487
27 1 1 0 1 10 0.50000000 -0.00000341 0.00001669
28 1 1 0 1 11 0.50000000 -0.00000356 0.00001827
29 1 1 0 1 12 0.50000000 -0.00000352 0.00001906
30 1 1 0 1 13 0.50000000 -0.00000079 0.00001769
31 1 1 0 1 14 0.50000000 -0.00001473 0.00004165
32 1 1 0 1 15 0.50000000 -0.00000325 0.00002270
33 1 1 0 2 0 0.50000000 0.00000510 0.00000763
34 1 1 0 2 1 0.50000000 0.00000106 0.00000171
35 1 1 0 2 2 0.50000000 -0.00000000 0.00000000
36 1 1 0 2 3 0.50000000 -0.00000020 0.00000122
37 1 1 0 2 4 0.50000000 -0.00000019 0.00000251
38 1 1 0 2 5 0.50000000 0.00000006 0.00000389
39 1 1 0 2 6 0.50000000 0.00000031 0.00000526
40 1 1 0 2 7 0.50000000 0.00000066 0.00000664
41 1 1 0 2 8 0.50000000 0.00000104 0.00000803
42 1 1 0 2 9 0.50000000 0.00000132 0.00000938
43 1 1 0 2 10 0.50000000 0.00000168 0.00001057
44 1 1 0 2 11 0.50000000 0.00000210 0.00001105
45 1 1 0 2 12 0.50000000 0.00000460 0.00001050
46 1 1 0 2 13 0.50000000 -0.00000403 0.00002562
47 1 1 0 2 14 0.50000000 0.00000506 0.00001358
48 1 1 0 2 15 0.50000000 -0.00000254 0.00001910
49 1 1 0 3 0 0.50000000 0.00000788 0.00001198
50 1 1 0 3 1 0.50000000 0.00000180 0.00000350
51 1 1 0 3 2 0.50000000 0.00000020 0.00000122
52 1 1 0 3 3 0.50000000 0.00000000 0.00000000
53 1 1 0 3 4 0.50000000 0.00000018 0.00000108
54 1 1 0 3 5 0.50000000 0.00000047 0.00000214
55 1 1 0 3 6 0.50000000 0.00000093 0.00000327
56 1 1 0 3 7 0.50000000 0.00000130 0.00000440
57 1 1 0 3 8 0.50000000 0.00000172 0.00000553
58 1 1 0 3 9 0.50000000 0.00000229 0.00000656
59 1 1 0 3 10 0.50000000 0.00000269 0.00000700
60 1 1 0 3 11 0.50000000 0.00000477 0.00000681
61 1 1 0 3 12 0.50000000 -0.00000071 0.00001744
62 1 1 0 3 13 0.50000000 0.00000553 0.00000924
63 1 1 0 3 14 0.50000000 0.00000222 0.00001154
64 1 1 0 3 15 0.50000000 -0.00000454 0.00001895
65 1 1 0 4 0 0.50000000 0.00001043 0.00001633
66 1 1 0 4 1 0.50000000 0.00000223 0.00000536
67 1 1 0 4 2 0.50000000 0.00000019 0.00000251
68 1 1 0 4 3 0.50000000 -0.00000018 0.00000108
69 1 1 0 4 4 0.50000000 0.00000000 0.00000000
70 1 1 0 4 5 0.50000000 0.00000034 0.00000099
71 1 1 0 4 6 0.50000000 0.00000071 0.00000187
72 1 1 0 4 7 0.50000000 0.00000127 0.00000285
73 1 1 0 4 8 0.50000000 0.00000181 0.00000379
74 1 1 0 4 9 0.50000000 0.00000208 0.00000425
75 1 1 0 4 10 0.50000000 0.00000374 0.00000430
76 1 1 0 4 11 0.50000000 0.00000033 0.00001192
77 1 1 0 4 12 0.50000000 0.00000471 0.00000631
78 1 1 0 4 13 0.50000000 0.00000296 0.00000798
79 1 1 0 4 14 0.50000000 0.00000065 0.00001103
80 1 1 0 4 15 0.50000000 -0.00000747 0.00002081
81 1 1 0 5 0 0.50000000 0.00001274 0.00002069
82 1 1 0 5 1 0.50000000 0.00000256 0.00000724
83 1 1 0 5 2 0.50000000 -0.00000006 0.00000389
84 1 1 0 5 3 0.50000000 -0.00000047 0.00000214
85 1 1 0 5 4 0.50000000 -0.00000034 0.00000099
86 1 1 0 5 5 0.50000000 -0.00000000 0.00000000
87 1 1 0 5 6 0.50000000 0.00000041 0.00000093
88 1 1 0 5 7 0.50000000 0.00000085 0.00000168
89 1 1 0 5 8 0.50000000 0.00000122 0.00000224
90 1 1 0 5 9 0.50000000 0.00000244 0.00000251
91 1 1 0 5 10 0.50000000 0.00000053 0.00000775
92 1 1 0 5 11 0.50000000 0.00000360 0.00000417
93 1 1 0 5 12 0.50000000 0.00000270 0.00000557
94 1 1 0 5 13 0.50000000 0.00000209 0.00000779
95 1 1 0 5 14 0.50000000 -0.00000057 0.00001113
96 1 1 0 5 15 0.50000000 -0.00001075 0.00002372
97 1 1 0 6 0 0.50000000 0.00001493 0.00002507
98 1 1 0 6 1 0.50000000 0.00000278 0.00000914
99 1 1 0 6 2 0.50000000 -0.00000031 0.00000526
100 1 1 0 6 3 0.50000000 -0.00000093 0.00000327
101 1 1 0 6 4 0.50000000 -0.00000071 0.00000187
